,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.51,0.87,0.89,1.03,0.81,0.69,1.1,0.99,0.91,1.6,1.01,1.07,1.16,0.92,0.76,1.14
f_1,1.36,1.53,0.83,0.88,0.75,0.74,0.85,0.94,0.8,1.04,0.98,0.72,1.04,0.84,0.61,0.95
d_1,0.94,0.99,1.55,0.69,0.81,0.78,1.08,1.64,0.9,0.91,1.09,1.02,1.17,0.96,1.07,1.01
c_1,0.91,0.89,0.98,1.61,1.32,0.76,1.02,0.78,1.05,0.9,0.97,1.01,1.09,0.77,0.84,1.03
b_1,0.89,1.04,0.97,0.81,1.66,1.35,1.09,1.0,0.94,1.02,0.78,0.97,1.19,0.76,0.94,1.11
a_1,1.04,1.02,1.0,0.96,0.71,1.74,1.2,1.18,1.17,1.03,1.28,1.29,1.43,1.0,1.13,1.23
h_1,1.03,1.52,1.19,1.03,0.98,0.8,1.82,1.27,1.48,1.3,1.33,1.29,1.18,1.15,1.19,1.61
c_0,1.22,1.33,1.09,1.02,0.96,0.94,1.53,1.79,1.38,1.55,2.16,1.41,1.6,1.48,1.24,1.5
g_1,1.09,1.19,1.59,0.94,1.15,0.93,1.16,1.37,1.89,1.21,1.37,1.63,1.2,1.27,1.17,1.07
d_0,1.04,1.21,0.98,1.8,1.15,0.89,1.29,1.13,1.28,1.68,1.38,1.23,1.55,1.22,1.13,1.47
b_0,1.26,1.36,1.27,1.19,1.0,0.67,1.38,1.22,1.21,1.32,1.78,1.32,1.39,2.23,1.26,1.39
f_0,0.96,1.14,1.3,1.27,1.19,0.97,1.44,1.45,1.24,1.52,1.46,1.82,1.6,1.46,2.06,1.31
h_0,1.29,1.55,1.27,1.2,1.12,0.88,1.12,1.3,1.63,1.43,1.57,1.19,1.33,1.21,1.17,1.65
a_0,1.26,1.4,1.32,1.46,1.12,0.62,1.51,1.45,1.35,1.53,1.11,1.37,1.74,1.88,1.21,1.38
e_0,1.06,1.73,1.12,1.26,1.07,1.06,1.49,1.61,1.4,1.56,1.58,1.27,1.81,1.39,1.89,1.58
g_0,1.13,1.2,1.7,1.36,1.1,0.95,1.29,1.48,1.28,1.37,1.61,1.88,1.47,1.34,1.29,1.31
