,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.49,0.41,0.51,0.46,0.44,0.37,0.6,0.59,0.65,0.82,0.51,0.51,0.42,0.61,0.23,0.54
f_1,0.79,1.51,0.43,0.51,0.37,0.36,0.49,0.43,0.5,0.54,0.24,0.49,0.44,0.49,0.34,0.52
d_1,0.43,0.48,1.52,0.37,0.47,0.44,0.55,0.51,0.86,0.35,0.52,0.53,0.43,0.48,0.58,0.45
c_1,0.52,0.41,0.5,1.57,0.72,0.38,0.61,0.46,0.15,0.47,0.57,0.45,0.49,0.55,0.45,0.51
b_1,0.48,0.58,0.45,0.39,1.61,0.58,0.64,0.52,0.54,0.54,0.6,0.28,0.4,0.69,0.39,0.55
a_1,0.64,0.5,0.46,0.42,0.39,1.74,0.6,0.54,0.6,0.62,0.58,0.54,0.29,0.71,0.6,0.55
h_1,0.64,1.0,0.73,0.7,0.58,0.57,1.66,1.08,0.83,0.87,0.78,0.93,0.92,0.62,0.77,1.21
g_1,0.66,0.79,0.99,0.91,0.68,0.52,0.55,1.72,0.81,0.64,1.09,0.91,0.77,0.91,0.5,0.69
c_0,0.65,0.92,0.82,,0.59,0.61,0.94,0.84,1.49,0.8,0.96,1.71,0.93,0.92,0.92,1.1
d_0,0.69,0.93,0.39,1.21,0.66,0.45,0.89,1.04,0.9,1.51,0.77,0.91,0.86,1.17,0.73,0.88
f_0,0.68,0.5,0.98,0.86,0.62,0.62,0.96,0.83,0.99,1.19,1.61,0.87,0.8,1.05,1.58,0.9
b_0,0.73,0.87,0.83,0.94,0.31,0.59,0.94,0.89,0.8,0.93,1.1,1.57,1.51,0.98,0.73,1.03
a_0,0.83,1.09,0.93,0.81,0.66,0.31,0.88,0.91,0.87,0.93,0.93,0.71,1.69,1.06,0.89,0.97
h_0,0.71,1.2,0.94,0.73,0.68,0.6,0.53,1.05,0.94,0.79,0.8,0.88,0.75,0.66,0.64,1.03
e_0,0.42,1.12,0.78,0.85,0.99,0.56,0.94,1.0,1.04,1.12,0.76,1.18,0.83,1.15,1.73,0.91
g_0,0.76,0.77,1.36,0.79,0.62,0.57,0.68,0.46,0.84,0.84,1.23,0.97,0.93,0.94,0.95,0.65
