,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.77,0.96,1.07,0.92,0.71,0.56,0.46,0.58,0.35,0.39,0.42,0.36,0.32,0.3,0.39
f_1,1.29,1.0,0.86,0.96,0.8,0.66,0.43,0.44,0.44,0.43,0.39,0.35,0.26,0.3,0.28,0.27
d_1,1.05,1.16,1.0,0.81,0.95,0.78,0.51,0.39,0.53,0.54,0.42,0.39,0.4,0.25,0.32,0.31
c_1,0.93,1.05,1.23,1.0,1.26,0.71,0.52,0.44,0.32,0.38,0.3,0.36,0.38,0.34,0.32,0.28
b_1,1.08,1.26,1.05,0.8,1.0,1.07,0.52,0.51,0.48,0.59,0.43,0.43,0.43,0.36,0.34,0.36
a_1,1.41,1.51,1.27,1.38,0.92,1.0,0.79,0.73,0.62,0.46,0.56,0.49,0.5,0.45,0.42,0.4
h_1,1.86,2.32,1.9,1.98,1.83,1.25,1.0,1.01,0.82,0.75,0.74,0.87,0.69,0.75,0.62,0.58
g_1,2.17,2.2,2.56,2.2,1.97,1.42,1.01,1.0,0.83,0.94,0.86,1.1,0.68,0.76,0.81,0.72
d_0,1.71,2.28,2.17,3.12,2.06,1.64,1.22,1.15,1.0,0.78,0.9,0.98,0.85,0.76,0.7,0.75
c_0,2.75,2.38,1.78,2.53,1.78,1.98,1.38,1.06,1.27,1.0,1.57,0.92,0.88,0.92,0.79,0.68
b_0,2.53,2.7,2.39,3.15,2.48,1.77,1.35,1.17,1.11,0.73,1.0,0.95,0.98,0.92,1.14,0.77
f_0,2.19,2.93,2.48,2.88,2.37,2.06,1.13,0.94,1.12,1.07,1.1,1.0,1.11,0.8,0.94,1.13
h_0,2.8,3.91,2.57,2.66,2.25,1.89,1.52,1.52,1.17,1.19,1.01,0.93,1.0,1.05,0.83,0.81
g_0,3.06,3.21,4.06,2.99,2.72,2.17,1.32,1.33,1.29,1.07,1.09,1.31,0.99,0.99,0.9,0.79
a_0,3.35,3.59,2.89,3.13,3.15,2.41,1.59,1.25,1.42,1.3,0.88,1.09,1.24,1.13,1.0,0.89
e_0,2.53,3.92,3.2,3.51,2.86,2.25,1.76,1.4,1.47,1.36,1.3,0.92,1.16,1.19,1.14,1.0
