,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.26,0.56,0.45,0.58,0.46,0.33,1.0,0.76,1.81,0.74,0.95,0.9,1.18,0.94,0.7,0.5
f_1,0.92,2.3,0.41,0.45,0.35,0.34,0.88,0.75,1.08,1.03,0.96,0.38,1.02,0.9,0.63,0.64
d_1,0.46,0.56,2.4,0.35,0.48,0.33,0.89,0.86,0.5,1.89,1.08,1.02,1.38,1.2,0.85,0.76
c_1,0.49,0.48,0.51,2.42,0.8,0.35,0.86,0.76,0.91,0.4,0.57,0.82,1.3,1.1,0.88,0.7
b_1,0.44,0.51,0.5,0.5,2.53,0.68,0.67,0.62,1.02,1.04,0.47,1.01,1.38,1.15,0.67,0.84
a_1,0.49,0.54,0.44,0.54,0.49,3.06,0.97,0.89,0.97,0.68,1.02,0.96,1.27,1.07,0.42,0.73
h_1,0.53,0.78,0.64,0.58,0.52,0.36,2.97,1.24,0.98,1.12,1.26,1.45,0.88,1.87,0.99,1.08
g_1,0.56,0.56,0.91,0.6,0.42,0.37,1.15,3.27,0.85,1.21,0.98,2.02,1.49,0.8,1.06,0.97
d_0,0.62,0.68,0.25,1.13,0.56,0.41,1.06,1.0,2.49,0.82,1.23,1.29,1.5,1.24,0.99,1.02
c_0,0.67,0.56,0.72,0.39,0.36,0.48,1.31,1.13,1.34,2.71,2.5,1.45,1.44,1.73,1.19,0.9
b_0,0.56,0.65,0.69,0.71,0.35,0.38,1.33,1.02,1.28,1.03,2.85,1.07,1.66,1.64,2.19,0.98
f_0,0.48,0.36,0.71,0.65,0.53,0.48,0.99,1.14,1.32,1.4,1.17,2.76,1.68,1.88,1.25,2.25
h_0,0.62,0.99,0.57,0.61,0.51,0.44,0.72,1.3,1.28,1.13,1.14,1.02,0.96,1.89,1.08,0.83
g_0,0.54,0.61,1.05,0.61,0.57,0.43,1.12,0.57,1.07,1.07,1.17,1.66,1.52,0.86,0.74,0.86
a_0,0.6,0.65,0.58,0.68,0.51,0.32,1.18,0.92,1.3,1.48,1.37,1.1,1.88,1.46,3.03,0.84
e_0,0.28,0.61,0.64,0.72,0.6,0.48,1.41,0.98,1.34,1.32,1.23,1.32,1.54,1.61,1.06,3.13
