,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.89,0.76,0.9,1.0,0.77,0.36,0.36,0.53,0.34,0.41,0.49,0.27,0.34,0.34,0.4
e_1,0.62,0.42,0.85,1.0,0.81,0.96,0.58,0.49,0.56,0.48,0.35,0.47,0.38,0.44,0.83,0.41
d_1,0.99,0.97,0.4,0.84,0.78,0.79,0.44,0.69,0.33,0.43,0.38,0.32,0.37,0.36,0.4,0.23
c_1,0.8,0.75,1.21,0.39,1.0,0.81,0.5,0.24,0.47,0.53,0.38,0.42,0.36,0.38,0.39,0.35
b_1,0.87,1.04,0.94,0.55,0.36,1.13,0.54,0.43,0.46,0.43,0.74,0.32,0.33,0.36,0.31,0.31
a_1,1.09,0.82,0.89,1.06,0.48,0.3,0.54,0.45,0.47,0.43,0.53,0.47,0.32,0.81,0.51,0.41
h_1,0.82,0.74,0.76,0.77,0.75,0.72,0.25,0.36,0.55,0.33,0.34,0.38,0.42,0.31,0.35,0.3
d_0,0.77,0.49,1.19,0.92,0.84,0.88,0.44,0.26,0.43,0.38,0.33,0.39,0.3,0.38,0.34,0.35
g_1,0.77,0.79,0.87,0.86,0.82,0.72,0.29,0.42,0.23,0.27,0.32,0.36,0.25,0.39,0.31,0.31
c_0,0.88,0.75,0.47,1.36,0.89,0.73,0.45,0.47,0.51,0.25,0.41,0.37,0.31,0.37,0.34,0.31
b_0,0.79,0.82,0.69,0.9,1.39,0.63,0.43,0.38,0.37,0.22,0.23,0.36,0.27,0.41,0.33,0.26
f_0,1.25,0.75,0.8,0.8,0.94,0.61,0.48,0.35,0.26,0.33,0.31,0.22,0.28,0.32,0.35,0.2
h_0,0.88,0.75,0.65,0.72,0.94,0.69,0.51,0.35,0.46,0.33,0.34,0.29,0.36,0.38,0.31,0.33
a_0,1.09,0.7,0.66,0.78,1.09,0.79,0.43,0.42,0.39,0.28,0.2,0.33,0.28,0.2,0.4,0.27
e_0,1.11,0.86,0.68,0.85,1.02,0.67,0.38,0.34,0.41,0.33,0.3,0.19,0.26,0.34,0.2,0.35
g_0,0.81,0.73,0.89,0.9,0.77,0.65,0.34,0.33,0.53,0.33,0.35,0.36,0.25,0.35,0.26,0.33
