,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12.72,0.62,1.0,0.49,0.6,0.6,0.94,2.31,0.92,0.88,1.06,1.09,1.04,0.95,0.61,0.98
f_1,1.65,12.99,0.59,0.62,0.53,0.55,0.84,0.87,0.71,0.67,0.95,0.47,0.83,0.85,0.69,0.8
c_1,0.5,0.62,13.26,0.68,1.66,0.61,0.88,0.87,0.5,0.8,0.57,0.85,1.12,0.89,0.98,0.92
d_1,0.56,0.7,0.43,16.55,0.54,0.65,0.93,0.51,2.31,1.05,1.46,1.09,1.04,1.28,1.08,1.21
b_1,0.48,0.75,0.63,0.59,16.16,1.8,0.87,0.69,0.77,0.91,0.41,0.94,0.93,0.67,1.17,0.88
a_1,0.63,0.87,0.74,0.71,0.64,19.85,1.02,0.87,1.08,0.93,1.05,0.92,0.97,0.53,0.97,0.92
h_1,0.65,1.28,0.67,0.91,0.61,0.65,3.99,0.85,1.02,1.8,1.04,1.06,0.64,0.97,1.36,1.52
d_0,0.72,0.72,2.2,0.48,0.74,0.67,1.04,2.04,0.75,1.11,1.23,1.12,1.21,1.16,1.23,1.0
c_0,0.89,0.82,0.54,1.06,0.44,0.78,1.02,1.14,2.41,1.05,3.07,1.18,1.08,1.29,1.24,1.27
g_1,0.52,0.5,0.68,1.67,0.68,0.69,1.07,0.85,1.06,5.47,1.11,2.48,1.03,1.11,1.28,0.87
b_0,0.91,0.67,0.96,0.93,0.45,0.56,1.19,1.11,1.1,1.16,2.76,1.24,1.2,2.74,0.98,1.38
f_0,0.55,0.47,0.81,0.77,0.87,0.9,1.54,1.28,1.16,1.3,1.1,3.11,1.18,1.37,2.79,1.24
h_0,0.68,1.08,0.8,0.91,0.74,0.65,0.78,1.07,1.14,1.43,1.02,1.01,0.81,1.14,1.13,1.54
a_0,0.73,0.65,0.83,0.93,0.77,0.43,1.14,1.37,1.13,1.54,1.13,1.71,1.19,3.37,1.11,1.19
e_0,0.41,0.82,0.82,1.01,0.83,0.83,1.29,1.05,1.12,1.25,1.33,1.31,1.26,1.42,3.08,0.88
g_0,0.58,0.54,0.75,1.87,0.69,0.73,1.14,0.68,1.07,0.75,0.96,2.09,1.25,1.2,1.36,0.94
