,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,102.24,85.55,64.76,72.58,99.3,331.44,9080.74,12189.28,17812.87,19182.26,32921.36,30961.64,75177.52,90755.75,78054.04,158613.72
e_1,47.55,108.48,90.97,65.42,111.19,361.41,9333.6,20665.25,20280.32,23506.24,33101.43,46421.04,75437.68,92575.65,81796.86,184774.64
c_1,45.09,41.54,133.86,66.81,161.7,373.55,8564.2,9982.05,16312.83,9702.24,22397.64,37428.04,72265.96,91412.59,97545.78,144526.89
d_1,52.25,45.15,55.65,145.17,90.87,292.16,8327.24,9497.0,16032.1,33369.25,36393.27,36102.95,73058.36,91909.37,97030.24,138515.83
b_1,42.3,40.17,49.79,56.16,189.41,549.15,8523.98,10474.28,14697.65,17181.79,17136.64,40385.79,60492.12,71101.35,82991.24,118108.09
a_1,28.42,30.35,38.22,48.2,42.53,542.53,5155.05,7275.58,13141.65,11349.1,16863.32,24761.21,45704.43,39173.81,51728.97,72145.17
h_1,15.9,13.59,17.08,21.19,20.71,75.79,3678.88,2728.6,5983.12,5335.58,7630.13,9462.5,14827.58,22711.85,24877.38,52091.42
d_0,12.49,10.48,25.59,13.15,24.28,86.4,2283.21,4031.55,4428.24,4084.37,7952.97,8237.25,16573.31,21400.61,22250.69,40020.6
g_1,9.12,8.59,13.9,23.03,19.43,60.17,1513.69,2390.93,6536.76,4473.65,6471.97,12271.53,12503.29,17218.96,23299.13,25750.35
c_0,10.92,9.9,14.0,14.34,17.1,69.85,1829.39,3075.65,4105.02,6275.75,10461.61,8223.89,18605.68,21285.78,19557.29,34215.28
b_0,9.07,9.75,14.07,12.9,12.46,46.75,1684.14,2407.98,3820.34,3801.39,8636.42,8320.9,15582.34,29469.51,15174.04,32016.28
f_0,6.14,7.71,12.22,14.66,15.16,56.86,1475.15,2102.71,2728.85,3442.75,4863.39,10300.31,13715.99,15128.22,28202.44,25050.09
h_0,8.9,7.72,8.9,11.69,13.94,44.52,1019.96,1577.71,3372.2,2824.95,4027.96,5468.49,8529.59,12494.62,14054.89,26986.94
a_0,6.45,6.77,9.2,9.62,12.5,30.44,1231.55,1370.28,2505.91,2605.65,3496.59,5527.58,9575.92,18566.28,15142.81,19205.94
e_0,6.78,3.97,8.75,11.24,13.67,42.4,1157.41,1598.24,2152.2,2467.13,4393.71,4169.43,9680.77,12178.27,19901.31,20991.41
g_0,5.65,4.67,7.89,11.41,11.21,48.33,816.95,1110.06,1651.13,2232.63,3221.95,5940.36,8278.85,11013.37,11332.48,14203.54
