,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.42,1.56,1.55,2.02,1.73,1.65,3.28,3.21,5.35,3.4,3.87,3.77,4.67,4.14,3.53,4.24
f_1,2.34,2.44,1.56,1.69,1.62,1.48,2.98,2.96,3.66,3.01,2.88,3.5,4.1,3.14,2.93,4.77
d_1,1.76,1.72,2.57,1.48,1.61,1.68,2.87,3.06,3.24,5.38,3.81,4.29,4.59,3.85,3.87,4.12
c_1,1.48,1.66,1.7,2.7,2.57,1.7,3.1,3.28,3.02,2.81,3.2,2.92,4.34,3.62,3.89,4.3
b_1,1.51,1.71,1.65,1.52,2.79,2.74,3.49,3.52,3.48,3.87,3.94,3.16,4.63,3.65,4.05,4.86
a_1,1.55,1.95,1.74,1.73,1.48,3.43,3.59,2.93,3.75,3.73,3.64,3.81,4.56,3.27,3.71,4.89
h_1,1.67,1.99,1.89,1.76,1.59,1.51,4.27,4.14,3.58,3.62,3.91,3.7,4.23,3.83,3.98,5.13
g_1,1.63,1.76,2.14,1.63,1.58,1.69,3.15,4.66,3.49,3.82,5.05,3.47,4.35,3.89,4.74,4.3
d_0,1.37,1.74,1.51,2.58,1.93,1.79,3.43,3.28,4.43,3.08,3.91,3.61,4.88,4.19,4.39,5.27
c_0,1.77,1.81,1.68,1.66,1.59,1.69,3.39,3.39,4.06,4.55,4.27,6.27,5.22,4.9,4.57,5.23
f_0,1.47,1.77,1.87,1.95,1.78,1.85,3.42,3.41,3.82,3.65,4.85,4.06,5.02,4.34,6.81,5.07
b_0,1.75,1.78,1.78,1.86,1.66,1.49,3.31,3.67,3.63,3.05,4.03,4.87,5.22,6.62,4.58,5.1
h_0,1.68,2.03,1.8,1.78,1.67,1.74,2.74,3.9,3.71,3.35,3.78,3.41,4.26,3.34,4.12,5.23
a_0,1.66,1.85,1.84,1.7,1.77,1.59,3.44,3.31,3.52,3.42,3.67,3.16,5.22,5.24,4.3,4.67
e_0,1.49,2.04,1.83,1.71,1.87,1.55,3.48,3.38,3.56,3.8,2.85,4.09,4.92,4.43,5.48,5.12
g_0,1.59,1.47,2.37,1.94,1.5,1.62,3.13,3.29,3.35,3.8,4.58,4.17,4.61,4.2,3.89,4.42
