,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.24,1.05,0.53,0.49,0.4,0.35,1.07,0.81,1.14,1.09,1.21,0.52,1.4,1.04,0.72,1.23
e_1,0.66,2.28,0.44,0.68,0.56,0.38,0.9,0.87,2.37,1.25,1.23,1.2,1.57,0.98,0.56,1.33
d_1,0.65,0.51,2.42,0.43,0.51,0.4,1.35,1.06,0.61,2.08,1.28,1.23,1.68,1.08,1.08,1.41
c_1,0.59,0.51,0.61,2.51,1.04,0.34,1.06,0.88,1.02,0.39,0.86,1.08,1.46,0.95,0.89,1.09
b_1,0.61,0.6,0.55,0.55,2.59,0.95,0.95,0.85,0.92,1.06,0.43,0.96,1.12,0.52,0.89,1.09
a_1,0.62,0.64,0.61,0.56,0.5,3.11,1.12,0.77,1.15,1.3,1.04,0.93,1.7,0.36,1.14,1.47
h_1,1.1,0.54,0.78,0.59,0.61,0.52,2.99,1.54,1.06,1.26,1.58,1.14,1.03,1.26,1.05,2.15
g_1,0.64,0.72,1.14,0.63,0.52,0.56,1.1,3.34,1.06,1.31,1.16,1.95,1.65,0.94,1.38,1.11
d_0,0.73,0.72,0.44,1.39,0.56,0.46,1.3,1.03,2.66,1.0,1.47,1.28,1.69,1.2,0.96,1.54
c_0,0.8,0.71,0.77,0.46,0.44,0.59,1.43,1.19,1.68,2.64,2.82,1.67,1.78,1.47,1.34,1.84
b_0,0.91,0.69,0.82,0.69,0.3,0.45,1.41,1.4,1.46,1.58,2.8,1.36,1.95,2.53,1.15,1.68
f_0,0.4,0.52,0.8,0.79,0.64,0.62,1.63,1.46,1.57,1.55,1.75,3.23,1.96,1.28,2.68,1.68
h_0,1.01,0.64,0.76,0.77,0.5,0.47,0.8,1.68,1.39,1.4,1.45,1.26,1.32,1.04,1.31,1.97
a_0,0.8,0.74,0.83,0.68,0.62,0.29,1.29,1.46,1.44,1.33,1.41,1.3,2.06,3.28,1.01,1.45
e_0,0.85,0.44,0.72,0.79,0.49,0.62,1.51,1.65,1.42,1.73,1.82,1.71,2.12,1.04,3.32,1.63
g_0,0.64,0.55,1.15,0.72,0.57,0.39,1.21,1.13,1.17,1.35,1.52,2.11,1.96,1.03,1.13,1.42
