,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.84,0.94,1.19,1.05,0.91,1.05,1.3,0.99,1.02,1.08,1.21,1.09,1.01,1.2,1.09
f_1,1.19,1.0,0.97,1.0,0.94,0.88,0.9,1.01,0.89,1.06,0.94,0.91,0.84,1.03,1.01,0.79
d_1,1.05,1.04,1.0,0.9,0.88,1.0,1.02,0.95,1.29,0.92,1.07,1.0,1.0,1.01,0.85,1.06
c_1,0.84,1.02,1.13,1.0,1.36,0.91,0.98,0.75,0.92,0.93,0.81,0.92,0.99,0.99,0.99,1.04
b_1,0.95,1.05,1.11,0.72,1.0,1.48,1.0,0.96,1.14,1.06,1.03,0.94,1.03,0.81,1.02,0.91
a_1,1.08,1.13,1.01,1.07,0.7,1.0,1.05,1.02,0.92,1.13,1.09,0.93,1.05,1.0,1.1,0.94
h_1,0.95,1.11,0.96,1.04,1.0,0.93,1.0,0.99,0.85,1.08,0.94,0.94,1.07,0.85,1.22,1.0
d_0,0.78,0.98,1.0,1.35,1.08,0.97,1.02,1.0,0.85,0.97,1.02,1.07,1.04,0.91,1.05,1.08
c_0,1.03,1.12,0.77,1.11,0.91,1.03,1.17,1.19,1.0,1.02,1.3,1.1,1.11,1.2,1.0,1.05
g_1,0.98,0.93,1.11,1.08,0.96,0.91,0.92,1.02,1.0,1.0,1.01,1.24,0.92,1.03,0.96,1.11
b_0,0.95,1.04,0.9,1.18,1.03,0.85,1.12,0.95,0.78,1.04,1.0,0.99,1.02,1.37,0.99,1.09
f_0,0.84,1.07,0.98,1.05,1.1,1.07,1.03,0.96,0.96,0.83,0.97,1.0,1.14,0.99,0.76,1.35
h_0,0.95,1.15,1.0,1.05,0.96,0.91,0.94,0.98,0.91,1.07,1.0,0.9,1.0,0.99,1.11,0.9
a_0,0.99,0.99,0.99,1.0,1.2,0.96,1.15,1.1,0.85,0.99,0.73,0.99,0.99,1.0,0.89,1.06
g_0,0.84,0.99,1.15,0.98,1.03,0.9,0.86,0.93,1.0,1.03,1.06,1.24,0.93,1.15,1.01,1.25
e_0,0.96,1.21,0.92,1.0,1.08,0.97,1.04,0.95,0.91,0.93,0.92,0.76,1.12,0.99,0.81,1.0
