,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.42,1.77,1.16,1.14,0.94,0.92,1.88,2.22,2.34,2.25,1.38,2.31,1.98,3.12,2.01,3.23
e_1,0.99,2.42,0.92,1.4,1.3,1.2,2.3,4.11,2.23,2.54,2.74,2.62,2.73,3.32,1.53,2.86
d_1,1.17,1.37,2.54,0.9,0.9,1.21,2.15,1.64,1.86,4.11,2.58,2.78,2.36,2.86,2.91,2.71
c_1,1.13,0.9,1.14,2.58,1.82,1.05,2.13,2.22,2.03,1.31,2.42,2.09,2.52,2.94,2.73,3.41
b_1,1.32,0.91,1.3,0.94,2.71,1.82,2.11,2.35,2.17,2.21,2.91,1.32,2.43,3.05,2.68,3.08
a_1,1.36,1.07,1.11,1.21,0.99,3.32,2.43,2.8,2.11,2.43,2.51,3.15,2.49,2.8,2.4,2.77
h_1,1.56,1.14,1.32,1.29,1.18,1.09,3.93,2.43,3.14,2.7,2.49,2.42,2.64,2.78,2.3,4.17
d_0,1.31,0.96,0.87,2.25,1.24,0.88,2.6,3.84,2.35,2.24,2.55,2.92,2.84,3.52,2.79,4.01
g_1,1.0,1.19,1.91,1.06,1.18,1.25,2.14,2.45,4.47,2.24,3.29,2.98,2.76,3.3,2.88,2.77
c_0,1.52,1.19,1.09,0.96,1.12,1.21,2.72,2.75,2.9,4.0,3.11,4.78,3.89,3.7,3.13,3.69
f_0,1.06,1.08,1.39,1.48,1.16,1.21,2.66,2.9,2.45,2.74,4.24,3.2,3.27,3.76,5.41,2.9
b_0,1.44,1.18,1.37,1.42,1.11,0.71,2.67,2.54,2.36,2.37,2.94,4.34,5.76,3.74,2.8,3.44
a_0,1.38,1.21,1.51,1.27,1.37,0.52,2.72,2.58,2.59,2.5,3.0,2.13,4.68,3.64,2.94,3.45
h_0,1.53,1.2,1.46,1.45,1.13,1.12,1.67,2.63,2.74,2.59,2.51,2.65,2.67,2.31,2.88,4.29
e_0,1.27,0.92,1.3,1.43,1.38,1.5,2.58,2.44,2.47,2.57,2.31,2.75,3.14,3.54,4.86,3.2
g_0,1.06,1.21,1.79,1.29,0.99,1.27,2.4,2.41,1.8,2.44,4.47,2.59,2.82,3.07,3.15,2.52
