,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.68,6.62,5.58,4.23,5.03,5.03,1.98,2.39,2.73,2.7,1.55,,1.2,,1.64,1.97
e_1,3.42,0.67,6.41,5.17,6.21,6.73,2.46,2.15,1.77,2.94,1.94,2.17,1.99,,1.97,1.72
c_1,5.92,5.96,0.65,7.83,6.39,7.42,3.12,1.26,,2.45,2.34,1.55,1.94,1.94,1.99,1.72
d_1,7.28,6.23,5.64,0.65,5.64,5.92,2.35,,2.5,1.67,2.38,2.1,2.46,1.56,1.93,0.99
b_1,5.97,7.71,3.81,6.11,0.63,6.65,3.04,2.55,2.26,2.57,,2.16,1.83,1.97,,1.52
a_1,8.21,5.78,6.89,8.93,3.75,0.58,3.57,2.98,2.64,3.21,,3.22,1.88,,,1.98
h_1,4.59,5.33,4.86,6.21,4.23,4.04,0.6,2.06,1.3,3.58,1.65,1.7,,2.21,2.2,1.48
d_0,4.31,3.45,5.3,,4.85,3.86,1.97,0.72,1.77,2.06,2.2,1.48,1.22,1.19,1.34,1.54
c_0,4.59,5.97,,3.24,5.17,4.14,2.8,1.76,0.69,1.74,1.84,2.13,1.11,1.57,2.05,1.26
g_1,5.36,6.51,5.19,6.4,7.45,4.36,1.64,2.33,2.01,0.57,2.21,2.71,1.24,,,
b_0,7.62,4.92,5.94,5.05,,,2.18,1.62,1.41,2.23,0.66,1.85,1.24,,1.73,1.67
f_0,,4.99,5.53,5.01,5.31,4.54,2.06,2.25,1.75,1.5,1.92,0.67,2.21,2.13,,0.96
h_0,5.49,4.26,3.97,3.59,4.16,4.75,,1.64,1.8,2.01,1.52,1.58,,1.59,1.34,1.44
e_0,,,5.41,6.52,5.11,,2.52,1.97,2.78,,,1.01,2.03,0.62,,1.87
a_0,7.3,5.91,6.12,5.84,,,2.52,2.81,2.12,,1.43,,1.64,,0.6,
g_0,5.09,4.78,5.81,6.24,7.42,4.73,1.87,2.04,1.73,,1.64,2.13,1.19,1.47,,
