,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,1.0,1.93,1.86,1.71,1.86,0.4,0.31,0.53,0.3,0.29,0.4,0.38,0.38,1.61,0.28
f_1,1.44,0.17,1.52,2.02,1.96,1.73,0.31,0.32,0.65,0.3,0.29,1.01,0.17,0.29,0.28,0.32
d_1,2.31,1.71,0.16,1.4,1.42,1.44,0.54,1.87,0.35,0.34,0.39,0.27,0.27,0.31,0.31,0.15
c_1,1.47,1.51,2.17,0.15,1.81,1.66,0.57,0.18,0.49,1.3,0.33,0.3,0.23,0.35,0.32,0.19
b_1,1.9,1.92,1.41,1.12,0.13,1.52,0.59,0.44,0.37,0.35,1.29,0.35,0.2,0.41,0.34,0.27
a_1,1.68,1.6,1.84,1.96,0.86,0.09,0.69,0.41,0.47,0.47,0.47,0.41,0.35,1.55,0.34,0.3
h_1,0.85,1.23,0.84,0.91,1.04,0.98,0.07,0.18,0.26,0.18,0.21,0.15,0.32,0.16,0.13,0.12
d_0,0.5,0.94,2.39,0.96,1.11,0.92,0.35,0.08,0.24,0.23,0.21,0.24,0.12,0.19,0.19,0.18
g_1,1.05,0.97,0.91,0.89,1.05,0.84,0.24,0.21,0.05,0.2,0.2,0.18,0.11,0.19,0.18,0.63
c_0,1.09,0.95,0.43,2.68,1.01,1.11,0.27,0.22,0.31,0.07,0.18,0.19,0.11,0.16,0.19,0.13
b_0,0.81,0.99,0.79,1.05,2.92,0.93,0.23,0.18,0.26,0.1,0.07,0.16,0.12,0.2,0.17,0.13
f_0,0.98,3.64,0.95,0.68,0.93,0.91,0.22,0.19,0.16,0.16,0.17,0.06,0.1,0.19,0.26,0.08
h_0,1.0,0.97,0.84,0.78,1.04,0.8,0.55,0.2,0.25,0.19,0.15,0.21,0.31,0.16,0.16,0.15
a_0,0.83,1.23,1.06,0.89,0.97,2.06,0.2,0.22,0.23,0.19,0.09,0.14,0.13,0.04,0.14,0.16
e_0,1.48,1.0,0.74,0.98,0.95,0.95,0.26,0.19,0.31,0.18,0.21,0.09,0.11,0.17,0.04,0.16
g_0,0.78,1.23,0.93,1.0,0.87,0.98,0.19,0.16,,0.19,0.16,0.18,0.1,0.2,0.19,0.23
