,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,0.84,1.02,0.91,0.62,0.37,0.43,0.36,0.53,0.41,,0.27,0.38,0.28,0.25
e_1,0.8,1.0,0.83,0.8,0.89,0.77,0.53,0.61,0.35,0.33,0.48,0.39,0.4,0.28,,0.4
d_1,1.18,1.21,1.0,0.82,1.18,0.59,0.56,,0.66,0.3,0.38,0.39,0.4,0.37,0.32,0.31
c_1,0.98,1.24,1.22,1.0,1.13,0.77,0.39,0.33,,0.47,0.42,0.45,0.43,0.42,0.39,0.34
b_1,1.1,1.12,0.85,0.88,1.0,1.11,0.59,0.56,0.49,0.41,,0.39,0.38,0.29,0.27,0.43
a_1,1.61,1.31,1.69,1.3,0.9,1.0,0.65,0.61,0.54,0.69,,0.61,0.45,,0.48,0.34
h_1,2.73,1.9,1.79,2.59,1.68,1.54,1.0,0.77,0.96,1.04,0.7,0.67,,0.59,0.49,0.76
d_0,2.33,1.64,,3.06,1.78,1.63,1.3,1.0,1.18,1.0,0.76,0.88,0.91,0.73,0.7,0.69
c_0,2.78,2.83,1.52,,2.05,1.86,1.04,0.85,1.0,1.01,1.19,0.89,0.87,0.74,0.61,0.71
g_1,1.88,2.99,3.34,2.13,2.44,1.45,0.96,1.0,0.99,1.0,1.1,1.01,0.65,0.66,0.59,
b_0,2.43,2.1,2.65,2.38,,,1.42,1.31,0.84,0.91,1.0,0.95,0.89,1.15,0.73,0.65
f_0,,2.6,2.57,2.22,2.56,1.65,1.49,1.14,1.12,0.99,1.05,1.0,0.96,,1.37,0.68
h_0,3.68,2.49,2.53,2.35,2.61,2.22,,1.1,1.15,1.54,1.13,1.04,,0.67,1.04,0.99
a_0,2.63,3.57,2.71,2.4,3.42,,1.71,1.37,1.35,1.52,0.87,,1.49,1.0,,
e_0,3.59,,3.14,2.54,3.77,2.08,2.02,1.43,1.65,1.71,1.37,0.73,0.96,,1.0,0.9
g_0,3.98,2.51,3.23,2.98,2.3,2.91,1.31,1.44,1.42,,1.54,1.47,1.01,,1.11,
