,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.77,0.74,1.33,0.87,0.76,0.62,0.86,0.85,0.83,0.98,0.9,0.68,0.93,0.91,0.72,0.86
d_1,0.88,1.89,0.76,0.7,0.72,0.76,0.97,1.03,1.62,0.68,1.25,1.02,0.97,1.18,1.03,0.92
e_1,0.87,0.75,1.88,0.98,0.76,0.67,1.04,0.94,0.9,1.57,0.94,1.0,1.07,0.9,0.84,1.01
c_1,0.82,0.79,0.72,1.92,1.33,0.83,0.92,0.84,0.59,0.92,0.71,0.93,0.96,0.91,0.89,0.94
b_1,0.76,0.88,0.7,0.72,2.12,1.57,0.89,0.92,0.83,0.91,0.68,0.98,0.96,0.79,0.99,1.08
a_1,0.91,0.79,0.79,0.87,0.83,2.93,1.16,0.97,0.96,0.87,0.96,1.03,1.03,0.69,1.08,1.05
h_1,1.06,0.91,0.91,0.91,0.7,0.75,1.94,1.29,1.01,0.87,1.13,1.03,0.87,1.09,1.09,1.4
g_1,0.85,1.27,0.67,0.81,0.82,0.76,0.96,2.1,1.15,0.83,1.01,1.47,0.96,1.05,1.28,0.96
c_0,0.99,1.06,0.82,0.75,0.64,0.63,1.03,1.17,1.57,1.0,1.88,1.15,1.2,1.35,1.04,1.06
d_0,0.85,0.68,0.78,1.47,0.9,0.67,1.04,1.01,0.73,1.49,1.1,1.1,1.0,1.07,1.05,0.99
b_0,0.91,1.01,0.86,0.99,0.56,0.61,1.13,1.11,1.14,1.08,1.74,1.17,1.17,1.88,1.1,1.11
f_0,0.75,1.03,0.68,0.95,0.88,0.82,1.11,1.03,1.16,1.03,1.23,1.72,1.18,1.16,2.15,1.16
h_0,1.16,1.04,0.86,0.77,0.74,0.74,0.74,1.33,1.07,0.9,1.07,0.97,0.91,0.94,0.97,1.35
a_0,0.89,0.94,0.88,0.96,0.81,0.59,0.91,1.1,1.08,1.06,1.09,1.07,1.12,2.03,1.27,0.95
e_0,0.94,0.91,0.74,0.87,0.88,0.88,1.07,1.2,1.16,0.94,1.32,1.11,1.14,1.25,2.07,1.03
g_0,0.79,1.31,0.82,0.8,0.67,0.78,0.97,0.85,1.07,0.79,1.16,1.54,1.09,1.02,1.22,0.99
