,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.5,0.6,0.43,0.71,0.67,0.49,2.03,5.46,2.96,2.09,3.01,3.31,5.23,3.55,0.63,3.99
f_1,1.02,5.84,0.51,0.61,0.43,0.53,2.72,2.55,3.29,1.63,3.27,0.65,3.74,3.25,2.61,5.13
d_1,0.63,0.64,6.46,0.38,0.65,0.61,2.27,0.42,5.29,2.45,2.65,3.12,4.15,2.96,2.42,4.12
c_1,0.64,0.45,0.64,6.91,1.27,0.53,1.69,2.69,0.34,1.79,2.71,2.93,4.53,2.42,3.11,3.68
b_1,0.42,0.68,0.54,0.67,7.89,1.05,2.14,3.58,2.61,2.69,0.91,2.63,3.93,2.68,3.24,3.58
a_1,0.65,0.73,0.56,0.6,0.42,10.28,2.8,3.34,2.1,1.4,2.76,2.43,4.14,0.8,4.16,4.29
h_1,0.89,1.57,1.3,0.93,0.96,0.72,14.79,3.62,4.74,4.73,5.23,4.49,2.64,5.22,3.83,8.65
d_0,1.03,1.18,0.33,2.28,1.02,0.94,2.89,12.35,3.6,3.18,4.7,5.17,7.85,4.07,4.71,6.48
c_0,1.05,1.34,1.37,0.36,0.8,1.32,3.87,3.45,13.35,3.77,9.6,5.53,8.21,5.35,5.66,8.53
g_1,0.87,0.81,2.09,0.94,0.76,1.1,3.45,3.95,4.41,19.16,4.22,7.87,6.91,4.21,7.74,2.29
b_0,1.13,1.16,1.28,0.98,0.22,1.21,4.31,5.47,5.48,3.87,14.88,5.62,7.72,9.07,6.46,8.41
f_0,0.89,0.41,1.26,1.35,0.95,1.25,3.94,5.17,5.77,5.42,6.51,15.81,9.02,5.67,11.54,9.28
h_0,0.86,1.45,0.97,1.01,1.0,1.1,1.73,5.77,5.36,5.49,4.77,6.56,3.03,4.62,6.46,9.15
a_0,0.98,1.39,1.13,1.28,0.66,,5.6,4.62,4.97,5.09,4.32,7.03,8.13,22.56,5.5,9.37
e_0,,1.14,1.32,1.04,1.2,1.23,3.51,5.28,5.26,4.89,7.23,6.95,10.6,6.05,24.0,7.6
g_0,0.9,0.77,1.8,1.09,1.17,0.71,3.34,4.22,4.98,1.67,5.38,9.64,6.78,5.62,5.07,4.19
