,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.31,0.88,0.79,0.93,0.69,0.67,1.49,2.9,1.14,1.51,1.65,1.63,2.25,1.17,2.04,0.92
f_1,1.43,2.36,0.79,0.82,0.65,0.49,1.39,1.75,1.22,1.56,1.75,0.92,2.2,1.3,1.63,0.99
d_1,0.83,0.94,2.43,0.61,0.65,0.56,1.54,0.95,1.64,3.17,1.83,1.61,2.21,1.74,2.02,1.39
c_1,0.71,0.83,0.69,2.5,1.46,0.7,1.43,1.8,1.24,0.93,1.21,1.55,1.97,1.39,1.8,1.39
b_1,0.78,0.79,0.8,0.83,2.66,1.29,1.49,1.63,1.13,1.5,0.99,1.69,1.76,0.98,1.66,1.61
a_1,0.91,0.97,0.77,0.87,0.76,3.06,1.44,1.8,1.29,1.36,1.38,1.58,2.29,0.81,1.94,1.33
h_1,0.9,1.2,1.06,0.75,0.72,0.73,3.35,1.85,1.74,1.72,1.85,1.84,1.66,1.46,3.03,1.48
d_0,0.83,1.0,0.56,1.73,1.01,0.56,1.53,2.98,1.25,1.03,1.75,1.64,2.37,1.61,2.11,1.55
g_1,0.78,0.88,1.45,0.9,0.75,0.59,1.47,1.6,3.73,2.05,1.89,2.66,2.3,1.72,1.5,1.77
c_0,0.9,1.1,1.03,0.7,0.56,0.76,2.01,1.66,1.66,3.22,3.38,2.02,2.72,2.06,2.55,1.81
b_0,0.91,1.05,1.03,0.92,0.47,0.63,1.75,2.05,1.55,1.84,3.29,2.0,2.76,3.37,2.42,1.75
f_0,0.74,0.82,0.98,0.98,0.92,0.72,1.83,2.05,1.65,1.66,2.11,3.45,2.48,1.73,2.64,3.13
h_0,0.95,1.29,0.95,0.93,0.73,0.58,1.13,1.8,1.87,1.6,1.86,1.88,1.7,1.51,2.55,1.56
a_0,0.98,1.18,0.98,1.01,0.75,0.35,1.81,1.8,1.54,1.81,2.03,2.04,3.2,3.41,2.23,1.46
g_0,0.82,0.77,1.41,0.94,0.85,0.67,1.49,1.76,1.17,1.56,1.73,2.71,2.27,1.53,2.14,2.14
e_0,0.57,1.04,0.93,1.17,0.89,0.86,1.6,1.72,1.59,1.6,1.81,1.8,2.53,1.75,1.94,3.64
