,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.42,1.59,1.36,1.25,1.09,1.13,0.56,0.55,0.97,0.47,1.04,0.54,0.49,0.42,0.54,0.58
e_1,0.8,0.42,1.02,1.68,1.62,1.44,0.7,0.71,0.71,0.65,0.66,0.64,0.5,0.55,0.76,0.52
d_1,1.28,1.56,0.4,1.38,1.15,1.39,0.62,1.33,0.44,0.77,0.54,0.5,0.5,0.41,0.59,0.32
c_1,1.31,1.14,1.49,0.39,1.55,1.21,0.69,0.35,0.72,1.26,0.51,0.56,0.66,0.44,0.56,0.52
b_1,1.58,1.12,1.67,0.78,0.37,1.47,0.68,0.65,0.74,0.62,0.73,1.17,0.65,0.53,0.55,0.57
a_1,1.54,1.22,1.18,1.4,0.8,0.3,0.88,0.76,0.62,0.7,0.63,0.94,,0.49,0.52,0.52
h_1,1.13,0.93,0.99,0.94,0.97,0.84,0.26,0.4,0.53,0.37,0.4,0.41,0.38,0.66,0.39,0.4
d_0,1.07,0.56,1.49,1.13,1.15,0.86,0.56,0.28,0.57,0.49,0.43,0.45,0.48,0.42,0.44,0.47
g_1,0.86,0.94,1.16,1.09,0.91,1.06,0.45,0.46,0.23,0.34,0.39,0.51,0.37,0.32,0.44,0.58
c_0,1.05,0.86,0.58,2.05,1.11,0.99,0.54,0.45,0.66,0.26,0.43,0.48,0.54,0.41,0.45,0.4
f_0,2.06,0.83,0.93,1.02,0.83,0.91,0.57,0.43,0.46,0.37,0.25,0.45,0.37,0.39,0.51,0.26
b_0,1.08,0.86,0.86,1.12,2.24,0.67,0.54,0.45,0.44,0.26,0.39,0.25,0.55,0.44,0.47,0.4
a_0,1.4,0.93,1.01,0.94,1.01,,0.57,0.43,0.55,0.31,0.38,0.23,0.22,0.36,0.44,0.36
h_0,0.96,0.84,1.03,0.97,0.96,1.01,0.87,0.4,0.5,0.38,0.37,0.38,0.45,0.61,0.43,0.37
e_0,1.2,1.8,0.8,0.9,0.93,0.96,0.58,0.33,0.52,0.4,0.23,0.43,0.39,0.34,0.21,0.29
g_0,0.87,0.97,1.09,0.84,1.06,1.0,0.43,0.41,0.75,0.44,0.51,0.41,0.4,0.31,0.52,
