,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.59,0.64,0.51,0.82,0.59,0.55,0.91,1.83,0.9,0.75,0.96,0.92,0.99,0.61,1.03,0.97
f_1,1.02,2.76,0.57,0.59,0.59,0.52,0.8,0.74,0.7,0.82,1.02,0.33,0.9,0.74,1.03,0.74
d_1,0.57,0.63,3.16,0.5,0.54,0.5,0.93,0.42,0.97,1.88,1.18,1.11,1.01,1.16,0.94,0.92
c_1,0.49,0.64,0.6,3.2,1.11,0.59,0.91,0.68,0.87,0.27,0.8,0.9,0.92,0.76,0.84,1.04
b_1,0.63,0.55,0.6,0.55,3.46,1.21,0.89,0.87,0.87,0.67,0.3,1.04,1.08,0.8,0.67,1.04
a_1,0.52,0.78,0.69,0.6,0.51,5.15,0.99,0.95,0.82,1.23,0.95,0.96,0.94,1.01,0.3,1.07
h_1,0.7,1.03,0.76,0.77,0.76,0.62,3.08,1.0,1.4,1.01,1.03,0.97,0.67,1.15,1.01,1.36
d_0,0.72,0.72,0.36,1.53,0.76,0.72,1.0,2.31,0.99,0.91,1.02,1.37,1.14,1.13,1.17,1.22
g_1,0.68,0.55,1.29,0.57,0.65,0.76,0.93,0.93,3.79,1.1,1.03,2.03,1.14,1.33,1.51,0.66
c_0,0.82,0.87,1.02,0.4,0.66,0.56,1.2,0.83,1.11,2.52,2.29,1.18,1.25,1.42,1.39,1.12
b_0,0.99,0.8,0.96,0.68,0.22,0.57,1.03,1.2,1.1,1.22,2.77,1.23,1.31,1.44,2.89,1.08
f_0,0.78,0.53,0.91,0.7,0.65,0.71,1.39,1.19,1.39,1.33,1.25,2.86,1.32,2.7,0.88,1.41
h_0,0.79,1.03,0.92,0.78,0.56,0.67,0.59,1.1,1.51,1.18,1.28,1.16,0.66,1.32,1.09,1.72
e_0,0.4,1.04,0.77,0.84,0.6,0.64,1.32,1.23,1.01,1.4,1.2,1.61,1.13,3.97,1.14,1.37
a_0,0.77,0.87,0.98,0.82,0.52,0.28,1.12,1.06,1.49,1.16,1.3,1.11,1.4,1.56,3.9,1.24
g_0,0.65,0.64,1.25,0.96,0.77,0.61,1.11,0.86,0.74,1.13,1.01,1.88,1.06,1.35,1.12,0.8
