,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,0.86,0.83,0.97,0.9,0.77,0.2,0.18,0.21,0.31,0.2,0.22,0.16,0.11,0.17,0.14
e_1,0.56,0.41,0.99,1.07,0.99,1.0,0.26,0.21,0.21,0.31,0.2,0.27,0.19,0.13,0.28,0.15
d_1,1.12,1.08,0.39,1.02,0.93,0.88,0.29,0.18,0.29,0.18,0.18,0.2,0.17,0.13,0.19,0.09
c_1,1.05,0.78,1.25,0.39,0.94,0.89,0.27,0.29,0.13,0.27,0.2,0.2,0.2,0.14,0.19,0.14
b_1,1.08,1.03,1.19,0.61,0.38,1.04,0.35,0.29,0.2,0.31,0.34,0.21,0.25,0.17,0.2,0.16
a_1,1.23,1.44,1.32,1.17,0.66,0.33,0.42,0.27,0.29,0.35,0.32,0.26,0.33,0.17,0.23,0.18
h_1,1.7,1.72,1.64,1.79,1.83,1.55,0.28,0.36,0.43,0.44,0.35,0.35,0.3,0.35,0.32,0.23
c_0,1.95,2.15,1.14,2.49,2.08,1.72,0.53,0.29,0.6,0.49,0.38,0.41,0.35,0.28,0.39,0.23
d_0,1.67,1.25,2.77,2.17,2.11,2.0,0.55,0.48,0.3,0.66,0.4,0.46,0.39,0.3,0.43,0.33
g_1,1.99,1.88,1.98,2.24,1.9,1.68,0.43,0.4,0.47,0.26,0.36,0.39,0.38,0.23,0.34,0.35
b_0,1.87,2.05,1.54,2.98,2.4,1.81,0.49,0.26,0.52,0.55,0.29,0.42,0.35,0.27,0.37,0.27
f_0,2.98,2.09,1.89,2.14,2.01,1.85,0.58,0.49,0.5,0.38,0.43,0.27,0.45,0.29,0.39,0.21
a_0,2.48,2.48,2.08,2.47,3.16,2.32,0.6,0.42,0.55,0.65,0.31,0.57,0.27,0.36,0.53,0.34
h_0,2.6,2.39,2.4,2.54,2.42,2.22,0.81,0.53,0.59,0.74,0.51,0.52,0.45,0.46,0.4,0.34
e_0,3.73,3.43,2.28,2.43,2.18,2.19,0.74,0.56,0.66,0.59,0.6,0.27,0.54,0.31,0.26,0.27
g_0,3.14,2.7,2.4,3.24,2.39,2.59,0.65,0.52,0.65,0.81,0.54,0.51,0.46,0.32,0.48,0.45
