,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,1.11,1.26,1.48,3.04,16.22,22.57,33.26,30.99,38.93,38.42,64.38,71.51,81.8,105.2
e_1,0.76,1.0,1.05,1.45,1.44,3.32,20.25,25.67,33.93,49.54,40.28,45.07,80.79,83.15,97.87,112.17
d_1,0.9,0.95,1.0,0.88,1.12,2.57,16.03,29.79,20.22,37.39,38.7,40.16,64.07,70.12,93.13,71.56
c_1,0.78,0.69,1.14,1.0,1.53,1.97,14.82,15.8,24.75,19.14,27.6,32.71,58.32,65.98,73.03,80.95
b_1,0.68,0.68,0.9,0.65,1.0,3.78,13.55,19.37,23.56,24.48,30.93,27.62,55.89,51.06,70.0,81.89
a_1,0.33,0.31,0.39,0.5,0.27,1.0,6.29,9.34,10.19,10.57,17.07,12.47,24.18,30.09,31.77,37.38
h_1,0.06,0.05,0.06,0.07,0.07,0.16,1.0,1.33,2.02,2.09,2.67,2.32,4.1,3.85,4.77,6.81
c_0,0.04,0.04,0.03,0.06,0.05,0.12,0.75,1.0,0.94,1.42,2.24,1.67,2.7,3.39,3.95,3.8
g_1,0.03,0.03,0.05,0.04,0.05,0.1,0.51,1.01,1.0,1.11,1.15,1.7,2.13,3.23,3.17,3.7
d_0,0.03,0.02,0.03,0.05,0.04,0.1,0.49,0.7,0.92,1.0,1.15,1.04,1.94,2.26,2.46,3.16
b_0,0.02,0.03,0.03,0.04,0.03,0.06,0.34,0.46,0.87,0.86,1.0,0.96,1.79,2.96,2.59,2.97
f_0,0.03,0.02,0.03,0.03,0.04,0.08,0.46,0.62,0.58,0.87,1.07,1.0,1.96,1.97,3.66,1.9
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.23,0.37,0.48,0.5,0.55,0.5,1.0,1.06,1.3,1.92
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.25,0.3,0.33,0.41,0.35,0.49,0.95,1.0,1.22,1.34
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.2,0.25,0.31,0.39,0.4,0.26,0.76,0.79,1.0,1.17
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.26,0.28,0.3,0.36,0.54,0.51,0.78,0.82,0.99
