,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.38,0.43,0.27,0.28,0.26,0.28,0.54,0.53,0.57,0.61,0.63,,0.71,0.5,0.65,0.74
e_1,0.24,2.39,0.29,0.22,0.3,0.18,0.64,0.39,0.94,0.66,0.57,0.8,0.8,0.57,,0.78
d_1,0.23,0.26,2.48,0.29,0.33,0.31,0.48,0.44,,1.03,0.59,0.66,0.72,0.59,0.53,0.83
c_1,0.33,0.34,0.21,2.56,0.54,0.21,0.55,0.52,0.4,,0.5,0.63,0.76,0.7,0.55,0.67
b_1,0.28,0.26,0.22,0.24,2.79,,0.75,0.44,0.75,0.72,,0.51,0.7,0.56,0.68,0.68
a_1,0.32,0.36,0.23,0.34,,3.33,0.66,0.56,0.47,0.6,0.67,0.58,0.78,,,
h_1,0.64,0.45,0.56,0.46,0.51,0.49,3.69,1.54,1.45,1.22,1.0,1.09,,1.06,1.07,1.82
g_1,0.51,0.49,0.83,0.56,0.5,0.5,0.87,4.05,0.95,1.11,1.41,1.58,1.41,0.96,1.28,
d_0,0.71,0.47,,1.13,0.63,0.71,1.16,1.31,3.49,1.25,1.08,1.19,1.75,1.09,1.68,1.64
c_0,0.57,0.59,0.52,,0.41,0.53,1.15,1.5,1.38,3.56,2.3,1.39,2.13,1.3,0.95,2.01
b_0,0.66,0.64,0.67,0.57,,0.48,1.16,1.0,1.38,1.03,3.72,1.51,1.97,2.18,1.39,1.5
f_0,,0.47,0.66,0.65,0.55,0.69,1.19,0.89,1.81,1.17,1.65,3.9,1.4,1.76,2.21,1.6
h_0,0.87,0.71,0.89,0.81,0.64,0.7,,1.85,1.85,1.59,1.59,1.4,,1.73,1.45,2.46
a_0,0.76,0.7,0.67,0.58,0.56,,1.53,1.25,1.24,1.23,1.24,1.23,1.55,4.32,1.62,1.5
e_0,0.49,,0.53,0.55,0.57,,1.07,1.28,1.43,1.9,1.31,1.14,2.42,1.29,4.64,1.91
g_0,0.65,0.75,0.99,0.74,0.75,,1.21,,1.57,1.49,1.33,2.43,1.91,2.1,1.69,
