,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.14,6.57,9.67,9.97,12.72,13.09,2.84,3.84,2.33,2.44,1.89,2.22,2.23,1.64,15.95,1.74
f_1,12.29,1.14,11.14,11.66,11.52,8.88,2.17,3.66,1.94,2.13,14.08,2.2,2.13,1.01,1.99,1.37
c_1,11.97,11.29,1.14,15.49,11.88,10.64,3.52,3.41,1.38,6.35,2.55,2.26,3.01,1.94,2.4,1.5
d_1,14.58,12.38,14.15,1.14,11.93,14.56,4.08,1.9,11.86,2.2,3.05,2.06,2.5,1.56,2.24,1.18
b_1,11.29,13.34,8.26,14.43,1.14,12.91,4.12,4.77,2.66,3.07,2.79,15.52,2.88,2.27,2.39,2.68
a_1,24.81,23.4,23.22,21.94,12.46,1.15,6.47,7.17,4.86,5.4,4.04,5.75,14.82,3.82,4.33,3.33
h_1,24.17,28.15,23.89,24.69,26.44,21.67,1.91,8.45,6.42,5.4,4.69,4.79,5.39,12.68,4.33,3.51
g_1,30.22,37.93,35.45,25.69,35.78,35.69,7.11,1.91,8.64,5.57,6.35,5.17,6.19,4.14,6.5,17.56
d_0,14.64,39.16,38.34,101.94,28.42,32.5,10.05,11.09,2.64,7.71,6.43,9.85,9.02,4.73,7.63,7.02
c_0,46.84,50.04,122.11,21.64,40.01,34.34,11.97,10.14,10.45,2.71,6.86,8.39,6.59,5.54,6.16,9.29
f_0,34.69,109.18,46.44,41.58,37.54,46.67,16.19,7.4,10.14,7.2,2.6,8.39,6.69,6.89,8.56,4.16
b_0,52.77,42.89,51.52,32.92,92.15,45.5,10.66,10.76,10.94,3.86,7.34,2.57,9.88,6.89,7.47,6.2
a_0,55.1,54.59,47.78,41.58,72.4,,14.57,17.32,14.29,8.44,7.04,6.1,2.68,5.61,12.54,7.35
h_0,45.7,55.43,54.95,57.45,62.06,55.15,51.41,17.32,12.73,10.19,10.85,13.84,10.38,21.83,11.32,8.78
e_0,113.55,85.79,65.94,57.45,58.48,45.5,15.33,16.14,16.67,11.02,5.92,15.06,10.38,10.34,2.79,7.18
g_0,63.51,75.06,70.15,60.77,58.48,107.06,17.14,50.71,13.21,13.5,13.36,14.22,12.58,8.19,17.55,24.31
