,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,1.04,1.04,1.48,3.41,16.78,29.0,29.48,28.85,32.65,44.77,55.71,71.11,90.57,104.49
e_1,0.8,1.0,1.34,1.13,1.5,3.67,19.06,29.45,38.42,32.29,41.17,47.37,65.23,101.79,96.47,115.05
c_1,0.97,0.74,1.0,1.18,1.83,2.6,17.48,26.02,18.68,24.32,29.22,35.19,57.77,76.01,73.47,107.51
d_1,0.95,0.89,0.85,1.0,1.33,2.8,16.26,18.56,28.33,37.04,29.39,35.72,54.67,71.88,66.13,83.83
b_1,0.67,0.68,0.55,0.74,1.0,3.92,13.78,17.53,17.19,25.36,21.61,31.96,39.64,54.35,56.86,65.63
a_1,0.29,0.27,0.39,0.36,0.26,1.0,5.35,8.5,7.55,7.84,10.32,17.36,19.58,26.2,24.06,28.56
h_1,0.06,0.05,0.06,0.06,0.07,0.18,1.0,1.77,1.48,1.74,1.91,2.29,3.36,4.66,4.11,6.93
g_1,0.04,0.03,0.04,0.05,0.06,0.11,0.56,1.0,0.89,1.15,1.62,1.55,1.72,2.57,3.12,3.43
d_0,0.03,0.03,0.05,0.03,0.06,0.12,0.66,1.09,1.0,0.92,1.23,1.51,2.25,2.89,3.24,3.83
c_0,0.03,0.03,0.04,0.03,0.04,0.13,0.57,0.89,0.99,1.0,1.03,1.97,2.08,2.61,2.94,3.37
f_0,0.03,0.02,0.04,0.03,0.05,0.1,0.52,0.61,0.81,0.95,1.0,1.45,1.9,3.04,2.65,2.32
b_0,0.02,0.02,0.03,0.03,0.03,0.06,0.46,0.67,0.61,0.51,0.7,1.0,1.58,1.64,2.9,2.27
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.31,0.58,0.42,0.46,0.53,0.64,1.0,1.29,1.31,1.75
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.36,0.34,0.37,0.31,0.65,0.79,1.0,1.12,1.08
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.32,0.3,0.35,0.38,0.34,0.76,0.83,1.0,1.22
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.15,0.3,0.27,0.3,0.42,0.45,0.54,0.86,0.8,1.0
