,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,0.97,1.13,0.95,0.83,0.71,0.88,0.67,0.62,0.65,0.73,0.61,0.53,0.61,0.64
f_1,1.26,1.0,0.92,1.01,0.89,0.71,0.6,0.65,0.67,0.58,0.66,0.54,0.53,0.52,0.6,0.47
d_1,1.01,1.07,1.0,0.95,0.89,0.85,0.7,0.68,0.6,0.86,0.65,0.63,0.59,0.62,0.47,0.55
c_1,0.89,1.02,1.07,1.0,1.33,0.89,0.76,0.5,0.67,0.6,0.57,0.63,0.59,0.57,0.56,0.52
b_1,1.08,1.11,1.14,0.76,1.0,1.3,0.8,0.66,0.69,0.84,0.73,0.67,0.62,0.54,0.6,0.67
a_1,1.19,1.4,1.2,1.1,0.77,1.0,0.79,0.85,0.85,0.71,0.75,0.76,0.82,0.75,0.68,0.6
h_1,1.41,1.69,1.47,1.27,1.18,1.23,1.0,0.96,1.11,0.83,0.92,0.9,0.91,0.78,1.03,0.84
d_0,1.13,1.51,1.55,1.98,1.58,1.14,1.05,1.0,0.99,0.78,0.91,0.91,0.92,0.9,0.91,0.9
g_1,1.48,1.52,1.71,1.55,1.42,1.13,0.9,0.99,1.0,0.98,1.0,1.12,0.79,0.88,0.84,0.87
c_0,1.52,1.7,1.16,1.74,1.2,1.47,1.22,1.22,0.99,1.0,1.37,1.08,1.04,0.97,1.02,1.01
b_0,1.49,1.58,1.51,1.72,1.4,1.35,1.1,1.06,1.04,0.74,1.0,0.98,0.97,1.19,0.95,0.89
f_0,1.38,1.85,1.6,1.59,1.47,1.3,1.12,1.09,0.88,0.93,1.04,1.0,0.89,0.87,0.78,1.26
h_0,1.67,1.95,1.65,1.71,1.5,1.24,1.15,1.06,1.27,0.98,1.02,1.07,1.0,0.84,1.04,0.92
a_0,1.86,2.0,1.63,1.78,1.8,1.28,1.3,1.06,1.19,1.03,0.87,1.17,1.27,1.0,1.05,1.0
g_0,1.61,1.74,2.07,1.75,1.83,1.44,0.97,1.12,1.2,0.97,1.03,1.27,0.94,0.99,1.0,1.28
e_0,1.63,2.11,1.77,1.94,1.55,1.57,1.18,1.06,1.1,0.98,1.03,0.79,1.07,1.02,0.8,1.0
