,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,23.37,0.63,0.38,0.4,0.36,0.28,0.6,0.64,0.69,0.63,0.83,0.24,0.69,0.84,0.93,0.52
e_1,0.39,23.93,0.27,0.31,0.33,0.3,0.78,0.7,1.69,0.9,0.98,0.99,0.88,0.81,0.83,0.27
d_1,0.32,0.28,26.5,0.29,0.32,0.43,0.74,0.74,0.18,1.67,0.98,0.83,0.74,1.14,0.79,1.1
c_1,0.34,0.38,0.32,27.23,0.7,0.3,0.6,0.67,0.69,0.14,0.64,0.78,0.89,0.88,0.8,0.71
b_1,0.27,0.31,0.35,0.34,32.63,0.79,0.77,0.65,0.8,0.6,0.18,1.07,0.61,0.87,0.8,0.8
a_1,0.35,0.36,0.39,0.3,0.33,43.76,0.99,0.83,0.72,0.83,0.67,0.6,0.19,0.81,0.78,0.73
h_1,0.99,0.52,0.61,0.63,0.5,0.53,10.07,1.67,1.74,1.62,1.19,1.55,1.08,0.57,2.23,1.63
g_1,0.48,0.54,1.44,0.68,0.47,0.49,1.21,11.94,0.79,1.23,1.19,1.88,0.99,1.26,0.71,1.29
d_0,0.64,0.54,0.21,1.64,0.66,0.65,1.54,1.29,5.24,1.35,1.41,1.59,1.67,1.55,1.53,1.59
c_0,0.84,0.62,0.75,0.29,0.52,0.62,1.31,1.82,1.41,5.99,4.03,1.84,1.98,1.77,1.55,1.68
b_0,0.82,0.59,0.63,0.8,0.27,0.59,1.57,1.26,1.67,1.14,6.12,1.3,3.86,2.15,1.85,2.01
f_0,0.31,0.46,0.78,0.8,0.63,0.77,1.78,1.31,1.86,1.65,1.52,6.8,1.57,1.54,2.02,4.39
a_0,0.98,0.7,0.74,0.83,0.56,,1.33,1.7,1.58,1.36,1.76,1.59,9.0,1.78,1.77,1.18
h_0,1.25,0.54,0.59,0.75,0.54,0.49,0.35,1.87,1.11,1.41,1.34,1.65,1.69,0.8,2.28,1.52
g_0,0.47,0.6,1.14,0.62,0.57,0.69,1.28,0.49,1.7,1.4,1.22,2.46,1.69,1.29,0.62,1.84
e_0,0.87,0.25,0.63,0.9,0.63,0.59,1.25,0.99,1.86,1.93,1.83,1.03,1.7,1.64,1.88,11.13
