,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.41,0.64,0.62,0.54,0.57,0.53,0.32,0.3,0.24,0.31,0.29,0.26,0.22,0.26,0.17,0.26
f_1,0.56,0.4,0.64,0.63,0.6,0.52,0.26,0.26,0.33,0.29,0.25,0.29,0.19,0.24,0.24,0.22
e_1,0.63,0.43,0.4,0.66,0.65,0.58,0.32,0.28,0.36,0.31,0.28,0.33,0.24,0.27,0.27,0.32
c_1,0.67,0.63,0.49,0.37,0.73,0.52,0.29,0.3,0.3,0.19,0.22,0.25,0.23,0.25,0.23,0.24
b_1,0.62,0.68,0.56,0.38,0.35,0.73,0.39,0.31,0.33,0.25,0.37,0.28,0.23,0.29,0.25,0.27
a_1,0.65,0.67,0.59,0.64,0.36,0.3,0.35,0.27,0.37,0.27,0.33,0.28,0.26,0.32,0.27,0.25
h_1,0.52,0.6,0.56,0.68,0.52,0.51,0.23,0.24,0.31,0.28,0.24,0.25,0.23,0.23,0.21,0.23
c_0,0.42,0.64,0.65,0.66,0.53,0.56,0.32,0.23,0.31,0.32,0.33,0.26,0.24,0.28,0.21,0.26
g_1,0.58,0.57,0.54,0.6,0.57,0.49,0.24,0.24,0.21,0.26,0.26,0.25,0.19,0.25,0.2,0.25
d_0,0.68,0.53,0.4,0.65,0.62,0.56,0.31,0.26,0.35,0.23,0.29,0.27,0.22,0.27,0.24,0.26
b_0,0.48,0.6,0.58,0.78,0.57,0.51,0.33,0.18,0.29,0.26,0.21,0.28,0.24,0.31,0.22,0.26
f_0,0.56,0.65,0.52,0.61,0.52,0.55,0.3,0.26,0.23,0.27,0.25,0.2,0.23,0.27,0.16,0.31
h_0,0.56,0.59,0.54,0.56,0.55,0.5,0.33,0.25,0.3,0.27,0.24,0.26,0.24,0.23,0.24,0.21
a_0,0.53,0.62,0.57,0.67,0.59,0.56,0.32,0.21,0.29,0.28,0.17,0.27,0.22,0.18,0.22,0.26
g_0,0.59,0.62,0.56,0.6,0.5,0.46,0.27,0.26,0.32,0.27,0.25,0.26,0.17,0.23,0.22,0.26
e_0,0.55,0.67,0.58,0.52,0.54,0.54,0.31,0.26,0.24,0.29,0.22,0.16,0.23,0.24,0.18,0.19
