,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.4,0.81,0.62,0.67,0.78,0.91,1.4,1.24,0.95,2.73,1.8,1.83,2.34,1.9,1.93,1.77
f_1,0.69,2.43,1.21,0.83,0.69,0.64,1.33,1.53,1.59,1.59,1.51,0.89,1.92,1.57,2.47,1.07
e_1,0.81,0.68,2.44,0.8,0.79,0.8,1.58,1.34,2.57,1.8,1.83,1.75,1.85,1.66,1.84,0.78
c_1,0.76,0.68,0.73,2.66,1.19,0.72,1.71,1.59,1.55,0.63,1.21,1.92,2.23,1.46,1.95,1.89
b_1,0.85,0.76,0.77,0.68,2.76,1.19,1.3,1.4,1.6,1.48,0.84,1.91,1.93,1.88,2.28,1.76
a_1,0.75,0.82,0.74,0.75,0.62,3.28,1.76,1.95,1.73,1.69,1.91,1.84,1.87,0.88,2.23,1.77
h_1,1.05,1.37,0.87,0.96,1.03,0.85,3.89,2.81,1.98,1.85,1.93,1.93,1.92,2.45,3.16,2.28
g_1,1.51,0.87,0.93,1.13,1.0,0.65,1.46,4.19,2.04,2.28,2.21,2.72,2.55,2.31,0.91,2.32
d_0,0.63,1.11,0.9,1.64,0.99,0.89,2.17,1.83,3.67,1.84,2.51,2.04,2.96,1.87,2.64,2.98
c_0,0.85,1.17,0.97,0.91,1.08,1.13,2.29,1.85,2.59,3.63,3.83,2.37,3.44,2.65,2.38,2.94
b_0,1.11,1.31,0.91,1.27,0.59,0.84,2.22,2.0,2.15,2.02,3.93,2.02,3.18,3.63,2.99,1.87
f_0,1.16,0.72,0.93,0.92,1.0,0.99,2.34,1.75,2.52,2.46,2.47,4.17,2.54,2.76,2.66,5.15
h_0,1.02,1.54,0.97,0.82,1.03,0.96,1.17,2.09,1.99,2.16,2.12,2.26,1.7,2.2,3.29,1.78
a_0,0.87,1.24,1.16,1.18,0.75,,1.77,1.85,2.94,2.5,2.22,2.26,3.1,4.5,3.12,2.04
g_0,1.42,0.82,1.07,1.08,0.83,0.76,1.71,,1.96,2.23,2.28,3.09,2.37,2.24,1.78,2.55
e_0,1.22,1.34,0.79,1.09,1.11,0.81,2.09,1.82,1.92,2.06,3.14,1.78,3.92,2.04,2.94,4.98
