,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.94,1.25,0.98,0.94,0.73,0.57,0.67,0.57,0.67,0.6,0.55,0.5,0.56,0.43,0.59
d_1,1.06,1.0,1.02,0.89,0.91,0.84,0.75,0.57,0.83,0.7,0.66,0.64,0.54,0.61,0.6,0.42
e_1,0.8,0.98,1.0,1.11,0.99,0.94,0.71,0.78,0.65,0.94,0.63,0.78,0.67,0.61,0.66,0.62
c_1,1.03,1.1,0.89,1.0,1.35,0.76,0.66,0.66,0.54,0.47,0.54,0.57,0.64,0.51,0.57,0.58
b_1,1.06,1.1,1.02,0.73,1.0,1.28,0.82,0.66,0.75,0.72,0.75,0.67,0.67,0.64,0.7,0.69
a_1,1.37,1.19,1.06,1.31,0.79,1.0,0.94,0.83,0.84,0.67,0.86,0.79,0.84,0.72,0.7,0.69
h_1,1.76,1.36,1.36,1.47,1.19,1.1,1.0,1.19,0.97,0.9,1.04,0.87,1.05,0.95,0.8,1.02
g_1,1.48,1.78,1.25,1.54,1.5,1.14,0.83,1.0,0.93,0.91,0.94,1.15,0.69,0.87,0.84,0.83
c_0,1.84,1.23,1.5,1.81,1.3,1.13,1.06,1.07,1.0,1.18,1.27,1.07,0.96,0.95,0.87,0.87
d_0,1.48,1.52,1.07,2.13,1.41,1.37,1.11,1.08,0.83,1.0,1.13,0.94,0.89,0.88,0.84,0.93
b_0,1.65,1.52,1.56,1.92,1.45,1.08,0.95,1.07,0.79,0.89,1.0,0.95,1.02,1.4,0.82,0.81
f_0,1.68,1.58,1.31,1.76,1.47,1.24,1.15,0.85,0.95,1.15,1.04,1.0,1.05,1.01,1.44,0.69
h_0,1.97,1.86,1.58,1.54,1.43,1.19,0.95,1.43,1.05,1.05,0.98,0.93,1.0,0.94,0.93,1.09
a_0,1.84,1.59,1.67,1.93,1.66,1.51,1.07,1.08,1.06,1.13,0.75,0.99,1.08,1.0,0.94,1.04
e_0,2.32,1.61,1.7,1.81,1.44,1.47,1.24,1.22,1.17,1.13,1.19,0.69,1.08,1.15,1.0,0.9
g_0,1.72,2.48,1.55,1.62,1.43,1.42,0.98,1.19,1.1,1.06,1.17,1.39,0.92,0.99,1.15,1.0
