,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,19.31,37.45,37.31,33.27,42.31,7.6,6.48,10.45,5.66,5.41,8.37,7.16,7.02,,4.85
f_1,35.9,0.45,30.83,40.62,40.37,34.37,5.15,6.43,11.28,6.37,6.67,,3.22,7.31,5.82,6.65
d_1,47.86,30.71,0.43,29.4,27.45,30.15,12.93,,7.52,7.52,9.57,5.1,5.1,6.67,7.04,3.11
c_1,34.3,27.46,52.5,0.43,38.57,38.02,11.06,4.16,10.32,,7.25,6.2,4.66,7.76,7.42,3.93
b_1,47.87,38.32,37.45,23.81,0.4,30.54,11.08,9.6,8.87,6.99,,8.79,4.89,8.13,7.3,5.17
a_1,41.46,35.22,49.25,44.39,20.17,0.33,18.46,9.52,12.8,11.64,14.8,11.82,7.89,,,9.4
h_1,16.16,21.57,19.76,16.96,20.32,18.32,0.37,3.64,4.66,3.81,4.1,3.73,,3.22,2.12,1.99
d_0,7.84,13.88,,16.89,15.07,12.87,4.1,0.52,4.1,3.73,3.48,3.68,1.99,2.49,3.25,2.21
g_1,31.95,23.93,15.66,18.2,23.63,21.85,5.21,4.51,0.33,4.26,4.77,3.75,1.85,4.23,3.79,
c_0,17.54,19.67,7.68,,19.59,19.54,5.83,3.19,5.64,0.48,3.03,2.77,1.91,2.75,3.61,2.14
b_0,20.71,17.77,16.82,18.62,,15.1,3.7,3.37,6.09,1.78,0.46,2.86,2.2,4.87,4.29,2.32
f_0,20.12,,18.86,13.96,16.91,26.66,5.03,3.74,2.45,3.39,3.56,0.47,2.01,4.36,,1.32
h_0,14.07,15.16,12.35,9.23,13.22,12.08,,2.16,2.76,2.76,2.09,2.92,,1.9,2.34,2.14
a_0,20.72,24.96,31.66,20.5,25.35,,3.91,5.17,6.03,4.52,2.11,3.76,3.97,0.39,,3.79
e_0,,19.96,17.49,28.62,23.12,,6.07,3.91,7.5,3.26,4.38,,2.47,,0.38,4.04
g_0,10.61,21.95,14.36,22.26,14.45,15.04,3.03,2.32,,3.26,2.33,2.54,1.51,3.58,2.96,
