,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.53,0.92,0.96,0.87,0.79,0.9,1.13,0.97,0.96,1.03,,0.96,1.12,0.89,0.75
e_1,0.65,1.0,1.09,0.99,1.13,1.16,0.82,0.89,1.37,1.22,1.06,1.11,0.94,0.98,0.96,
d_1,1.09,0.92,1.0,0.92,1.0,0.96,1.04,0.89,,1.32,1.02,1.03,1.15,0.94,0.67,1.0
c_1,1.04,1.01,1.09,1.0,1.23,1.28,1.06,0.95,0.7,,0.92,1.1,0.98,1.15,1.04,
b_1,1.15,0.88,1.0,0.81,1.0,1.0,1.46,1.0,0.78,1.13,,0.87,1.07,0.77,1.22,1.24
a_1,1.27,0.86,1.04,0.78,1.0,1.0,1.09,0.94,0.86,1.0,1.08,1.11,1.3,,0.89,
h_1,1.11,1.22,0.96,0.94,0.69,0.92,1.0,1.12,1.04,0.94,0.89,0.73,,1.0,1.43,1.12
g_1,0.88,1.12,1.12,1.06,1.0,1.06,0.89,1.0,1.09,0.81,0.74,1.23,0.95,,,
d_0,1.03,0.73,,1.44,1.28,1.16,0.96,0.92,1.0,1.08,1.13,0.97,0.92,,0.78,1.22
c_0,1.05,0.82,0.76,,0.89,1.0,1.07,1.24,0.92,1.0,1.34,0.93,1.04,1.13,1.07,1.13
b_0,0.97,0.95,0.98,1.09,,0.93,1.13,1.36,0.89,0.75,1.0,1.12,0.92,1.21,1.02,1.06
f_0,,0.9,0.97,0.91,1.15,0.9,1.37,0.81,1.03,1.07,0.89,1.0,0.93,0.97,0.94,
h_0,1.04,1.06,0.87,1.02,0.93,0.77,,1.06,1.09,0.96,1.09,1.08,,1.09,1.14,0.83
a_0,0.89,1.02,1.06,0.87,1.29,,1.0,,,0.89,0.82,1.03,0.92,1.0,1.25,1.07
g_0,1.12,1.04,1.49,0.96,0.82,1.12,0.7,,1.28,0.94,0.98,1.06,0.88,0.8,,0.87
e_0,1.34,,1.0,,0.8,,0.89,,0.82,0.88,0.94,,1.2,0.93,1.15,1.0
