,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,0.91,0.82,0.83,0.65,0.41,0.45,0.37,0.42,0.34,0.33,0.28,0.25,0.27,0.32
e_1,0.81,1.0,1.2,0.86,0.84,0.73,0.46,0.59,0.41,0.43,0.42,0.44,0.38,0.33,0.33,0.3
c_1,1.1,0.83,1.0,1.08,1.36,0.84,0.52,0.34,0.37,0.4,0.3,0.37,0.37,0.33,0.28,0.29
d_1,1.23,1.16,0.93,1.0,0.92,0.68,0.48,0.51,0.55,0.37,0.46,0.38,0.4,0.29,0.33,0.25
b_1,1.21,1.2,0.76,1.09,1.0,1.24,0.56,0.46,0.52,0.5,0.45,0.43,0.41,0.33,0.3,0.35
a_1,1.52,1.33,1.21,1.43,0.8,1.0,0.76,0.65,0.61,0.63,0.72,0.55,0.46,0.47,0.53,0.44
h_1,2.44,2.19,1.98,2.13,1.75,1.25,1.0,0.89,0.77,1.07,0.79,0.8,0.7,0.67,0.71,0.74
d_0,2.14,1.7,2.92,1.96,2.22,1.46,1.15,1.0,0.85,0.98,0.85,0.89,0.8,0.76,0.69,0.77
c_0,2.7,2.47,2.68,1.81,1.94,1.62,1.27,1.19,1.0,1.09,1.37,0.9,0.84,0.76,0.81,0.75
g_1,2.45,2.35,2.37,2.67,1.93,1.58,0.95,1.01,0.96,1.0,0.88,1.01,0.7,0.82,0.85,0.61
b_0,2.91,2.43,3.25,2.11,2.24,1.45,1.26,1.24,0.75,1.13,1.0,0.89,0.95,0.88,1.12,0.78
f_0,3.01,2.33,2.64,2.68,2.32,1.7,1.23,1.18,1.1,0.93,1.08,1.0,0.88,1.15,0.88,0.65
h_0,3.47,2.6,2.8,2.54,2.4,2.02,1.45,1.3,1.16,1.41,1.13,1.07,1.01,0.85,0.84,1.08
e_0,3.84,3.07,2.92,3.33,2.9,2.32,1.51,1.24,1.33,1.22,1.13,0.92,1.11,1.0,1.0,0.98
a_0,3.7,2.98,3.67,2.94,3.59,1.87,1.51,1.55,1.24,1.27,0.92,1.12,1.2,1.13,1.0,0.93
g_0,3.27,3.26,3.35,3.87,2.78,2.34,1.4,1.36,1.33,1.63,1.32,1.49,0.92,1.04,1.08,1.0
