,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.16,0.9,1.12,0.97,0.93,0.83,1.12,1.23,1.0,0.82,,0.98,0.98,1.0,1.11
e_1,0.86,1.0,0.85,0.91,0.9,0.98,0.89,1.75,0.89,0.97,0.88,1.04,1.05,0.76,1.34,
d_1,1.11,1.17,1.0,0.82,1.05,0.88,1.07,,0.68,1.56,0.93,0.83,0.83,1.31,0.81,1.07
c_1,0.89,1.1,1.22,1.0,1.3,0.91,0.88,0.66,1.37,,0.9,1.13,1.1,1.19,0.88,0.93
b_1,1.03,1.11,0.95,0.77,1.0,1.86,1.07,1.15,1.02,1.08,,0.93,0.82,0.79,1.02,0.8
a_1,1.08,1.02,1.13,1.1,0.54,1.0,,0.98,,0.73,1.16,0.97,1.26,,0.86,
h_1,1.21,1.12,0.93,1.13,0.93,,1.0,0.87,1.2,0.89,0.98,0.84,,0.95,1.05,1.18
d_0,0.89,0.57,,1.52,0.87,1.02,1.15,1.0,1.26,0.98,1.0,1.25,0.87,0.8,1.26,1.21
g_1,0.81,1.13,1.46,0.73,0.98,,0.83,0.79,1.0,0.95,1.1,1.41,1.04,1.0,,0.96
c_0,1.0,1.03,0.64,,0.93,1.37,1.12,1.02,1.05,1.0,1.26,1.0,1.12,1.0,1.14,0.82
b_0,1.22,1.14,1.07,1.11,,0.86,1.02,1.0,0.91,0.79,1.0,0.77,1.05,1.5,0.73,0.9
f_0,,0.96,1.2,0.89,1.07,1.03,1.19,0.8,0.71,1.0,1.29,1.0,1.11,1.0,0.73,1.37
h_0,1.02,0.95,1.2,0.91,1.22,0.79,,1.14,0.96,0.89,0.95,0.9,,0.95,1.03,0.97
a_0,1.02,1.32,0.76,0.84,1.26,,1.06,1.25,1.0,1.0,0.67,1.0,1.06,1.0,1.28,
g_0,1.0,0.75,1.23,1.13,0.98,1.16,0.95,0.79,,0.88,1.37,1.37,0.97,0.78,,
e_0,0.9,,0.94,1.08,1.25,,0.85,0.82,1.04,1.22,1.11,0.73,1.03,,,1.0
