,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,7.38,13.51,13.73,11.94,13.2,4.75,2.26,2.25,3.7,2.26,3.09,2.56,2.23,,2.0
f_1,14.17,0.17,11.59,14.59,12.6,14.14,2.46,2.2,2.85,4.51,2.47,,2.49,1.3,2.3,1.63
c_1,10.42,14.75,0.16,15.97,10.27,10.94,3.99,1.52,,3.22,2.82,2.59,2.31,1.55,3.13,2.06
d_1,15.45,14.16,10.4,0.16,10.96,23.6,3.56,,2.16,2.18,2.42,3.14,2.74,1.85,1.79,1.09
b_1,12.94,13.74,6.79,12.25,0.15,20.39,3.15,2.36,3.13,3.9,,2.6,3.44,1.63,2.73,1.62
a_1,11.17,12.29,13.13,14.42,9.41,0.09,2.95,2.23,2.82,3.74,2.67,2.9,,1.97,,2.19
h_1,2.87,3.65,4.14,2.57,3.36,2.4,0.07,0.77,0.74,0.94,0.7,0.72,0.65,,0.46,0.45
d_0,1.5,2.3,2.67,,2.8,2.07,0.66,0.08,0.69,0.94,0.74,0.49,0.38,0.36,0.4,0.51
c_0,3.12,2.3,,1.84,2.72,3.38,0.6,0.49,0.08,0.74,0.46,0.54,0.32,0.35,0.41,0.32
g_1,6.17,5.3,3.99,3.18,3.25,3.47,0.53,0.94,0.52,0.05,0.59,0.72,0.68,0.31,,
b_0,3.01,3.16,3.67,2.34,,2.67,0.76,0.62,0.23,0.62,0.06,0.44,0.69,0.35,,0.37
f_0,1.98,,2.33,2.3,3.43,3.69,0.82,0.55,0.5,0.46,0.6,0.06,0.78,0.38,0.66,0.2
a_0,2.92,2.6,2.64,2.38,3.23,,0.76,0.62,0.43,0.64,0.26,0.45,0.05,,,0.29
h_0,1.88,1.77,1.6,1.28,1.45,1.43,,0.37,0.34,0.44,0.38,0.25,,,0.33,0.27
e_0,,2.2,2.04,2.11,3.98,,0.64,0.48,0.61,,,0.3,,0.26,0.04,
g_0,1.86,1.39,1.89,2.04,1.46,1.14,0.43,0.48,0.46,,0.29,0.39,0.46,0.14,,
