,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,5.92,13.44,12.85,7.96,8.89,2.97,3.36,2.82,2.99,2.65,2.34,2.32,1.83,,1.68
f_1,12.28,1.07,8.16,9.59,10.12,9.22,2.55,4.86,2.27,2.52,2.97,,1.35,2.06,3.1,2.09
d_1,9.92,11.09,1.07,10.14,10.16,9.35,4.45,2.06,2.69,,2.3,3.47,2.74,2.73,2.31,1.9
c_1,8.27,10.94,12.2,1.07,12.41,8.87,3.69,4.72,,1.96,3.39,2.7,2.21,2.96,2.83,2.16
b_1,9.41,8.56,11.28,6.69,1.07,12.47,4.05,4.2,5.52,3.95,,3.09,3.07,3.53,2.5,1.97
a_1,14.2,15.7,11.05,14.26,9.13,1.07,5.33,4.99,4.71,5.85,4.88,3.69,3.94,,3.68,3.27
h_1,14.64,15.44,13.84,12.47,14.28,10.61,1.41,5.31,4.75,4.02,3.4,4.59,,3.88,,3.67
g_1,14.56,14.33,17.5,12.7,18.04,16.78,4.23,1.41,4.59,5.03,4.55,7.39,2.59,3.95,4.55,
c_0,15.16,15.79,10.66,,9.08,11.69,4.89,5.42,1.74,5.53,5.75,3.98,4.21,3.97,3.29,2.63
d_0,10.76,12.86,,15.4,10.81,12.36,7.13,5.69,4.67,1.76,4.03,4.86,4.57,3.73,2.8,3.52
b_0,18.64,18.58,17.24,14.49,,11.9,7.79,7.13,2.97,4.98,1.68,4.25,3.12,5.75,5.2,2.56
f_0,17.41,,17.45,18.14,17.48,17.65,5.77,3.11,4.67,4.47,4.98,1.68,4.57,4.63,6.36,2.86
h_0,16.48,17.82,12.24,14.28,16.53,10.63,,6.91,4.17,3.28,5.66,4.18,,4.67,3.96,3.56
a_0,23.36,28.99,18.9,22.14,21.59,,7.22,9.27,6.12,6.77,3.38,5.77,3.77,1.7,,4.78
e_0,,21.11,26.19,17.38,20.69,16.88,,7.71,6.95,7.2,7.03,3.83,3.99,,1.72,5.49
g_0,28.08,24.87,17.26,20.7,23.21,20.38,5.04,,6.45,5.2,6.59,5.36,3.18,4.32,4.31,
