,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,104.65,56.19,89.47,98.53,109.32,229.09,6554.07,12540.22,20134.49,26462.85,35617.77,27221.44,93826.35,106173.12,128697.33,102574.5
d_1,53.4,117.71,57.79,71.35,113.54,229.44,7510.09,14383.24,29228.5,18570.05,42154.72,44666.8,88948.19,120649.52,147896.75,133594.88
e_1,49.78,55.92,119.75,100.34,107.12,217.23,6979.71,16416.97,19197.77,39232.31,38099.29,44113.73,102058.44,102749.94,141745.71,82862.58
c_1,41.98,52.87,46.64,163.96,154.98,213.19,5811.31,11757.47,10236.24,16968.72,22748.25,32069.4,69274.92,79296.06,115890.5,112878.34
b_1,40.81,46.95,44.31,63.88,199.87,333.23,5789.34,11926.4,13181.7,18780.84,19561.64,28772.64,69285.97,73876.7,107457.95,111418.56
a_1,36.7,41.49,41.13,49.5,53.22,381.7,4640.49,10425.98,10980.3,14900.18,29530.72,22106.84,60287.76,56368.77,85455.63,62787.37
h_1,18.01,16.27,15.87,23.66,28.78,63.15,2990.46,4805.43,5442.63,6055.83,10390.8,10691.1,19384.57,28385.65,43383.74,33146.97
g_1,11.33,16.71,11.29,18.07,24.24,45.87,1450.11,5449.94,4108.76,4147.18,7998.83,11040.5,20547.25,23734.01,23097.06,30013.37
c_0,11.26,11.9,11.67,17.18,19.44,52.14,1496.95,3530.66,5494.93,5132.48,13658.78,8884.45,19892.96,24158.25,27150.36,29675.98
d_0,9.58,7.25,9.12,29.73,22.02,46.37,1341.89,3553.59,2828.43,6466.77,7484.05,7852.52,16812.73,19385.67,27534.05,25501.53
b_0,9.05,11.08,9.02,18.47,12.09,29.14,1210.89,2636.3,2690.59,4313.24,9220.81,6823.11,17142.43,35423.81,25165.35,23377.45
f_0,7.1,10.39,8.72,15.34,17.6,43.8,1204.95,2518.06,2976.22,4138.52,6148.04,9771.79,16342.2,18126.73,22340.53,39226.63
h_0,7.7,7.95,7.65,12.24,14.43,30.89,764.6,2355.37,2559.76,3411.31,5222.98,4879.65,9464.0,13660.92,23507.05,15832.02
a_0,6.28,6.7,6.86,11.7,12.92,18.54,863.56,1848.25,2192.65,3290.35,3440.39,5194.17,13270.55,21473.11,17720.72,19160.08
g_0,5.71,8.36,5.97,10.56,12.68,25.51,791.31,1590.37,2423.55,2847.1,3942.45,6255.06,9623.42,13295.24,13342.14,16964.21
e_0,6.16,7.53,5.58,10.25,12.2,29.74,869.24,1679.54,2014.57,2508.58,4421.41,3801.43,10778.83,12405.86,15052.36,24428.0
