,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.59,0.63,0.67,0.5,0.65,0.59,0.93,0.94,1.77,0.54,1.28,1.1,1.09,1.14,1.0,0.92
e_1,0.55,2.54,0.67,0.8,0.63,0.68,0.96,0.89,1.01,1.68,1.09,1.05,0.89,0.96,0.92,0.51
f_1,0.66,1.16,2.6,0.66,0.5,0.57,0.94,0.74,0.72,0.86,0.92,0.5,0.83,0.76,0.82,0.76
c_1,0.59,0.54,0.66,2.88,1.22,0.55,0.92,0.89,0.37,0.86,0.49,0.74,1.0,0.96,0.94,1.13
b_1,0.68,0.63,0.7,0.64,3.14,1.29,0.74,0.82,0.71,0.82,0.46,0.88,0.95,0.93,0.57,0.92
a_1,0.74,0.69,0.65,0.67,0.62,4.5,0.85,0.86,0.98,0.85,0.95,1.09,1.02,0.79,0.59,0.91
h_1,0.9,0.57,1.03,0.69,0.82,0.71,2.76,1.63,1.21,1.03,1.04,1.14,0.71,1.51,1.23,1.38
g_1,1.45,0.6,0.78,0.69,0.73,0.74,0.95,3.26,0.93,0.67,1.02,1.53,1.0,0.72,1.29,1.31
c_0,0.94,0.82,0.94,0.53,0.54,0.67,1.18,1.23,2.13,1.13,2.38,1.28,1.34,1.25,1.52,1.22
d_0,0.48,0.72,0.9,1.61,0.73,0.66,1.24,1.02,0.78,2.06,1.0,1.2,1.19,1.29,1.19,1.25
b_0,0.9,0.82,0.94,0.89,0.43,0.49,1.21,1.12,1.13,1.34,2.42,1.05,1.37,1.17,2.87,1.19
f_0,1.03,0.76,0.55,0.98,0.72,0.68,1.19,1.15,1.13,1.18,1.24,2.59,1.36,1.19,1.15,2.43
h_0,0.87,0.79,1.22,0.88,0.67,0.56,0.72,1.48,1.02,1.1,1.18,0.94,0.74,1.67,1.0,1.34
g_0,1.19,0.75,0.77,0.75,0.65,0.81,1.02,0.73,1.22,1.06,1.06,2.04,1.09,0.78,1.22,1.32
a_0,0.88,0.7,0.89,1.03,0.87,0.26,1.02,1.29,0.98,0.98,1.1,1.28,1.5,1.33,3.4,1.25
e_0,1.02,0.42,0.96,0.79,0.81,0.73,1.24,1.17,1.13,1.06,1.3,1.22,1.38,1.18,1.23,3.45
