,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.12,2.57,4.01,4.29,5.17,4.95,1.16,1.34,1.01,0.94,0.88,0.86,0.87,0.67,2.51,0.71
f_1,4.13,1.12,4.64,4.15,4.61,3.8,0.88,1.5,0.86,0.8,1.62,0.86,0.84,0.41,0.74,0.63
c_1,4.05,4.64,1.13,6.31,4.36,4.22,1.42,1.32,0.53,1.52,0.98,0.97,1.06,0.75,0.99,0.62
d_1,5.63,5.16,5.94,1.11,4.66,4.79,1.5,0.81,2.36,0.93,1.07,0.9,1.04,0.64,0.8,0.45
b_1,4.8,5.72,3.0,5.92,1.13,4.8,1.77,1.8,1.21,1.35,1.09,3.28,1.19,0.91,1.0,0.97
a_1,9.27,10.76,9.37,8.4,4.51,1.15,2.62,2.58,2.0,2.04,1.65,2.65,3.58,1.62,1.85,1.44
h_1,13.88,14.41,14.15,15.12,15.2,11.3,1.71,4.49,3.0,2.86,2.73,2.98,2.77,3.2,2.51,2.04
g_1,19.12,19.27,17.82,16.63,20.97,18.76,3.85,1.77,4.22,2.92,3.64,2.96,3.07,2.22,3.51,3.47
d_0,9.91,19.16,18.73,33.98,17.58,17.5,5.6,7.1,2.26,4.0,3.75,4.7,4.23,2.4,4.56,3.51
c_0,27.15,29.29,37.9,12.11,24.72,19.78,7.47,6.45,7.07,2.3,4.42,4.27,4.03,3.42,4.13,4.0
f_0,21.29,40.94,26.17,23.58,22.2,20.45,6.99,4.3,5.04,4.46,2.3,4.79,3.81,3.97,5.16,2.34
b_0,27.55,25.2,27.71,20.52,38.49,23.33,6.72,6.76,5.69,2.24,4.69,2.14,5.19,3.39,4.03,3.36
a_0,33.46,29.06,32.64,24.12,41.09,52.0,9.82,8.55,7.45,4.95,4.78,3.35,2.29,3.61,6.5,4.16
h_0,29.98,32.46,29.7,26.55,33.42,31.38,13.87,9.47,8.24,6.84,6.2,6.65,6.01,7.02,6.16,4.58
e_0,50.64,62.12,32.01,28.73,32.35,32.5,9.71,9.22,9.33,7.2,3.59,8.39,6.48,6.05,2.58,4.21
g_0,36.03,43.41,43.38,33.98,33.79,38.72,8.83,17.32,9.33,7.94,8.98,8.26,8.47,4.47,9.0,7.9
