,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.43,1.07,1.15,1.19,1.21,1.1,0.25,0.38,0.24,0.22,0.21,0.32,0.19,0.12,0.17,0.23
e_1,0.71,0.43,1.23,1.21,1.31,1.23,0.37,0.35,0.27,0.25,0.24,0.3,0.26,0.17,0.17,0.33
d_1,1.26,1.31,0.41,1.25,1.1,0.98,0.32,0.2,0.39,0.26,0.24,0.23,0.23,0.16,0.12,0.22
c_1,1.17,1.04,1.48,0.41,1.23,1.18,0.33,0.34,0.15,0.39,0.24,0.22,0.24,0.18,0.18,0.2
b_1,1.39,1.59,1.49,0.73,0.38,1.15,0.44,0.5,0.28,0.36,0.41,0.27,0.33,0.22,0.22,0.31
a_1,1.89,1.59,1.42,1.58,0.75,0.33,0.52,0.48,0.36,0.36,0.4,0.3,0.67,0.33,0.22,0.35
h_1,2.37,1.77,1.96,2.44,2.13,1.89,0.3,0.71,0.46,0.44,0.44,0.4,0.41,0.45,0.28,0.43
g_1,2.62,2.31,2.23,2.93,2.48,2.04,0.53,0.28,0.54,0.45,0.42,0.48,0.42,0.24,0.43,0.42
d_0,2.39,1.45,4.08,2.57,2.54,2.54,0.61,0.96,0.33,0.48,0.52,0.46,0.52,0.41,0.37,0.46
c_0,3.15,2.23,1.35,4.29,2.9,2.32,0.65,0.68,0.83,0.32,0.53,0.51,0.49,0.39,0.38,0.46
b_0,2.77,2.26,1.88,3.93,4.71,2.65,0.76,0.74,0.63,0.28,0.31,0.49,0.48,0.4,0.43,0.5
f_0,4.47,2.63,2.27,2.86,2.75,2.83,0.8,0.49,0.62,0.47,0.66,0.3,0.57,0.42,0.26,0.6
a_0,3.17,2.47,2.8,3.01,4.34,4.19,0.88,0.92,0.6,0.5,0.32,0.62,0.28,0.43,0.4,0.5
h_0,3.35,2.88,2.8,3.08,3.2,2.25,1.13,0.87,0.67,0.65,0.53,0.56,0.61,0.6,0.39,0.54
g_0,3.79,3.41,3.02,3.61,3.41,3.2,0.71,0.93,0.74,0.7,0.69,0.65,0.66,0.39,0.66,0.59
e_0,4.52,3.85,2.95,3.95,3.26,3.33,0.86,0.92,0.64,0.57,0.71,0.29,0.74,0.5,0.41,0.28
