,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.06,2.73,2.44,1.96,1.93,1.67,0.9,0.56,0.73,1.19,0.65,0.58,0.45,0.59,0.55,0.34
e_1,2.28,1.06,1.52,2.44,2.43,1.89,1.04,0.94,0.67,0.81,0.65,0.83,0.57,0.66,1.01,0.61
f_1,2.07,2.53,1.06,2.34,2.16,1.73,0.66,1.26,0.67,0.63,0.63,1.06,0.4,0.55,0.54,0.49
c_1,3.03,2.22,2.48,1.06,3.03,2.24,1.0,0.77,0.91,0.47,0.73,0.76,0.54,0.6,0.55,0.61
b_1,3.13,2.6,3.01,1.72,1.07,3.71,1.08,1.04,0.92,0.8,1.6,0.78,0.56,0.72,0.92,0.73
a_1,4.44,3.42,4.59,3.64,1.83,1.07,1.34,1.42,1.09,1.23,1.31,0.94,1.32,1.67,0.97,0.85
h_1,5.12,5.82,7.59,5.53,5.01,4.97,1.32,2.51,1.89,1.74,1.67,1.45,2.02,1.33,1.31,1.45
g_1,7.32,6.68,6.89,7.5,6.37,5.31,2.03,1.34,2.09,1.76,2.08,1.86,1.29,1.86,2.12,1.84
c_0,4.47,7.69,7.08,11.33,7.03,6.21,2.75,2.47,1.54,2.72,2.25,1.88,1.6,1.72,2.0,1.52
d_0,10.09,4.55,7.97,9.26,7.68,5.99,2.85,3.66,2.17,1.56,2.11,2.23,1.81,1.88,2.15,1.88
b_0,6.44,7.54,7.91,9.62,9.28,6.05,2.96,2.97,1.39,2.68,1.51,2.13,2.39,2.46,1.99,1.85
f_0,7.84,6.7,11.91,7.49,8.12,6.96,3.17,2.26,2.49,2.46,2.66,1.53,2.27,2.02,2.54,1.31
h_0,10.05,8.96,10.28,10.06,11.39,6.28,4.65,3.9,2.76,2.85,2.48,2.31,3.31,2.29,2.16,2.36
a_0,9.04,9.11,11.81,11.87,11.8,9.8,4.71,3.53,2.77,3.16,1.72,2.95,2.29,1.62,2.55,1.99
e_0,9.34,17.7,12.94,13.35,7.94,7.59,3.71,3.14,2.91,2.61,3.4,1.62,2.95,2.76,1.56,2.17
g_0,10.84,10.11,14.61,10.68,9.37,7.93,3.29,4.84,3.32,3.04,2.7,3.77,1.96,3.01,2.83,2.78
