,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.6,2.92,3.14,3.18,2.42,0.88,0.82,1.34,0.82,0.99,1.18,0.56,0.71,0.69,0.76
e_1,2.22,1.07,3.12,3.54,2.59,3.24,1.48,1.11,1.37,1.15,0.75,0.98,0.75,0.93,2.29,0.79
d_1,3.9,3.77,1.07,3.2,3.02,2.7,1.18,2.84,0.89,1.13,0.96,0.76,0.84,0.87,0.92,0.48
c_1,3.24,3.26,4.88,1.07,3.69,3.04,1.49,0.65,1.19,2.18,1.03,1.05,0.93,0.91,1.0,0.76
b_1,4.18,4.74,4.31,2.59,1.07,4.78,1.7,1.37,1.34,1.22,3.42,0.83,0.84,1.01,0.79,0.67
a_1,7.06,4.76,5.21,5.47,2.74,1.07,2.1,1.92,1.74,1.81,1.97,1.89,1.06,3.33,1.73,1.42
h_1,7.94,6.89,6.82,7.08,6.74,5.75,1.37,2.42,3.66,1.85,1.87,2.07,2.25,1.56,1.65,1.74
d_0,8.81,5.44,12.97,9.12,8.51,7.88,3.59,1.66,2.93,2.83,2.16,2.59,1.82,2.23,1.94,2.29
g_1,8.25,8.75,8.91,10.09,9.03,8.29,2.32,3.54,1.39,1.96,1.94,2.27,1.87,2.16,2.23,2.16
c_0,10.99,7.83,5.47,17.62,9.64,7.21,3.64,3.44,3.95,1.59,2.87,2.37,2.12,2.3,2.17,2.15
b_0,10.71,12.34,9.08,11.21,17.48,7.67,4.61,3.43,3.52,1.94,1.65,2.8,2.16,2.98,2.31,1.85
f_0,25.0,10.71,11.44,10.83,14.28,7.51,5.13,3.24,2.56,3.44,2.95,1.71,2.37,2.48,2.89,1.75
h_0,15.03,12.73,11.59,10.89,15.95,10.09,8.24,4.25,4.82,3.48,3.32,3.31,4.19,3.65,2.84,3.78
a_0,18.04,12.81,10.88,14.23,21.32,,5.88,4.83,4.71,3.35,2.21,3.5,2.72,1.71,4.44,3.05
e_0,19.46,14.63,10.94,14.16,19.08,9.4,4.72,4.04,4.38,3.68,3.24,2.01,2.75,2.93,1.68,3.39
g_0,17.6,14.63,17.75,16.43,16.6,9.57,4.87,4.09,8.54,4.18,4.2,4.19,2.68,3.5,2.85,4.38
