,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,10.69,0.52,0.66,1.0,0.74,0.61,0.89,0.96,2.63,0.84,1.22,0.84,1.03,0.85,1.04,1.05
d_1,0.64,13.13,0.75,0.47,0.62,0.7,1.0,1.06,0.54,2.33,1.05,1.42,1.03,1.02,1.22,0.98
f_1,1.96,0.64,11.55,0.73,0.55,0.52,0.93,0.74,0.92,0.82,0.52,0.97,0.7,0.59,0.95,0.91
c_1,0.6,0.66,0.62,11.4,1.91,0.79,0.8,0.92,0.84,0.51,0.93,0.6,1.03,0.92,0.72,0.75
b_1,0.5,0.75,0.76,0.67,12.55,2.05,0.99,0.89,0.79,0.94,0.91,0.7,0.99,1.04,0.67,0.99
a_1,0.63,0.81,0.95,0.76,0.58,17.02,1.07,0.92,0.85,0.98,0.84,1.12,1.14,1.01,0.72,0.99
h_1,0.77,0.96,1.17,0.8,0.72,0.69,3.46,1.34,0.85,0.88,1.08,0.94,0.82,1.17,1.08,1.75
g_1,0.65,1.81,0.61,0.71,0.68,0.72,1.09,3.23,0.76,1.08,2.05,1.06,1.08,1.36,0.95,0.86
d_0,0.72,0.57,0.65,2.51,0.95,0.8,1.02,0.91,1.92,0.58,1.08,0.69,1.03,1.12,0.84,1.12
c_0,0.88,0.92,0.94,0.65,0.51,0.66,1.13,1.14,0.89,2.25,1.2,3.15,1.39,1.17,1.81,1.07
f_0,0.54,1.09,0.61,0.93,0.73,0.84,1.07,1.37,1.22,0.9,2.54,1.11,1.28,2.96,1.08,1.39
b_0,0.67,0.94,0.98,0.82,0.52,0.49,1.07,1.02,1.08,1.23,1.17,2.64,1.32,1.08,2.93,1.2
h_0,0.65,0.93,1.23,0.83,0.7,0.79,0.72,1.49,0.95,0.93,1.02,1.24,0.66,1.25,1.07,1.42
e_0,0.44,1.09,0.86,0.9,0.81,0.89,1.04,1.28,0.96,0.98,1.05,1.2,1.43,2.75,1.15,1.25
a_0,0.66,1.02,0.79,0.96,0.91,0.42,1.14,1.06,0.95,0.92,1.21,1.35,1.29,1.22,3.07,1.37
g_0,0.62,1.72,0.7,0.84,0.68,0.66,1.11,0.9,0.79,0.94,1.85,0.94,1.39,1.55,0.97,0.8
