,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,0.98,1.21,1.02,0.92,1.04,1.09,1.02,1.32,1.09,1.05,1.03,1.05,0.98,1.06
f_1,1.22,1.0,0.95,1.07,0.92,0.94,0.87,0.94,0.91,1.02,0.88,0.93,0.94,0.84,0.8,0.98
d_1,1.02,1.07,1.0,0.88,0.99,1.0,1.05,0.88,1.23,0.95,0.98,1.12,0.99,0.95,1.09,0.88
c_1,0.83,0.96,1.13,1.0,1.31,1.0,1.03,0.99,0.82,0.73,0.96,0.8,0.96,1.03,1.04,0.98
b_1,0.96,1.07,1.02,0.77,1.0,1.39,1.01,1.01,1.08,0.9,1.06,0.95,0.93,1.06,0.94,1.05
a_1,1.06,1.06,0.99,0.98,0.71,1.0,1.09,1.13,1.01,1.2,1.05,1.22,1.06,1.15,1.21,1.12
h_1,0.95,1.12,0.95,0.98,0.98,0.92,1.0,1.17,0.9,0.95,0.96,0.99,0.94,1.04,0.94,1.11
g_1,0.92,1.06,1.15,1.01,1.0,0.87,0.84,1.0,0.96,0.91,1.16,0.91,0.94,0.95,1.02,1.02
c_0,1.0,1.1,0.83,1.16,0.96,0.95,1.06,1.03,1.0,1.16,1.02,1.4,1.16,1.08,1.12,1.06
d_0,0.78,0.98,1.02,1.34,1.08,0.88,1.03,1.07,0.89,1.0,0.93,0.94,1.03,1.11,1.09,1.03
f_0,0.9,1.1,0.98,1.07,0.92,0.93,1.03,0.83,1.01,1.09,1.0,1.02,1.05,0.99,1.34,0.91
b_0,0.97,1.11,0.9,1.23,1.03,0.83,0.96,1.06,0.75,1.06,0.99,1.0,1.31,1.11,0.94,1.07
a_0,0.96,1.04,1.0,1.01,1.15,0.94,1.12,1.08,0.88,0.95,1.0,0.72,1.0,1.07,0.79,0.98
h_0,0.99,1.19,1.05,0.97,0.91,0.87,0.96,1.06,0.92,0.89,0.97,0.9,0.97,1.0,0.89,1.17
e_0,1.01,1.22,0.95,0.98,1.05,0.85,1.06,0.97,0.95,0.96,0.78,1.03,1.1,1.05,1.0,0.97
g_0,0.97,0.98,1.12,1.05,0.95,0.87,0.89,0.94,0.92,0.92,1.18,0.94,1.01,0.86,1.03,1.0
