,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.65,1.05,0.68,1.06,0.93,0.79,0.47,0.44,0.37,0.53,0.4,0.42,0.27,0.31,0.48,0.35
d_1,1.05,0.64,1.09,0.98,0.89,0.82,0.4,0.49,0.38,0.3,0.37,0.3,0.28,0.2,0.31,0.3
f_1,1.06,0.93,0.64,0.98,0.87,0.82,0.35,0.36,0.35,0.45,0.33,0.39,0.24,0.3,0.29,0.32
c_1,0.83,1.15,0.91,0.64,1.08,0.88,0.44,0.24,0.41,0.41,0.31,0.35,0.28,0.27,0.32,0.27
b_1,1.01,1.17,1.13,0.68,0.62,1.25,0.5,0.37,0.46,0.44,0.43,0.37,0.34,0.32,0.34,0.34
a_1,1.33,1.3,1.3,1.22,0.73,0.57,0.56,0.49,0.43,0.54,0.55,0.44,0.38,0.37,0.41,0.42
h_1,1.5,1.67,1.83,1.51,1.39,1.2,0.53,0.58,0.56,0.73,0.56,0.51,0.48,0.45,0.49,0.5
d_0,1.16,1.88,1.62,2.24,1.73,1.38,0.85,0.55,0.6,0.84,0.63,0.61,0.5,0.49,0.62,0.56
c_0,1.85,1.24,1.95,2.11,1.76,1.5,0.8,0.91,0.53,0.68,0.7,0.62,0.54,0.45,0.57,0.57
g_1,1.49,1.92,1.83,1.7,1.68,1.43,0.64,0.67,0.65,0.51,0.7,0.63,0.42,0.5,0.58,0.53
b_0,1.74,1.53,2.11,2.23,1.99,1.36,0.82,0.67,0.46,0.7,0.53,0.56,0.51,0.52,0.53,0.6
f_0,1.66,1.82,2.29,1.99,1.8,1.42,0.87,0.74,0.67,0.61,0.73,0.52,0.54,0.42,0.63,0.57
h_0,2.06,1.91,2.09,2.12,1.83,1.67,1.03,0.81,0.68,0.94,0.71,0.7,0.67,0.61,0.57,0.58
g_0,1.96,2.37,2.21,2.28,1.99,1.75,0.82,0.89,0.77,0.94,0.73,0.79,0.53,0.71,0.71,0.64
e_0,2.49,1.86,2.67,2.23,2.03,1.67,1.0,0.91,0.78,0.78,0.87,0.53,0.66,0.59,0.49,0.65
a_0,2.19,1.91,2.43,2.55,2.28,2.42,1.09,0.83,0.69,0.99,0.56,0.76,0.69,0.68,0.67,0.52
