,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,1.76,1.02,1.75,1.85,1.69,0.51,0.62,0.42,0.36,0.42,0.43,0.34,0.38,0.83,0.29
d_1,2.21,0.42,1.94,1.75,1.72,1.43,0.55,0.31,0.7,0.32,0.33,0.31,0.21,0.37,0.29,0.18
f_1,1.73,1.58,0.42,1.51,1.78,1.86,0.34,0.5,0.33,0.33,0.33,0.67,0.18,0.36,0.28,0.28
c_1,1.5,2.35,1.69,0.41,1.85,1.83,0.52,0.5,0.2,0.65,0.35,0.34,0.24,0.29,0.32,0.23
b_1,1.86,1.96,1.95,1.03,0.4,2.0,0.73,0.57,0.44,0.52,0.81,0.47,0.28,0.38,0.44,0.31
a_1,2.3,2.37,2.63,3.19,1.1,0.33,0.59,0.87,0.59,0.48,0.58,0.44,0.44,0.83,0.61,0.36
h_1,2.69,2.7,3.59,3.28,2.32,2.62,0.32,0.77,0.64,0.54,0.6,0.59,0.66,0.48,0.49,0.44
g_1,3.34,2.78,3.35,3.14,2.99,2.5,0.63,0.31,0.65,0.58,0.62,0.59,0.36,0.51,0.63,0.71
d_0,1.61,5.83,3.48,3.19,3.71,3.14,0.94,1.28,0.39,0.74,0.74,0.61,0.48,0.64,0.64,0.49
c_0,3.18,1.76,3.16,6.82,3.64,3.19,0.88,0.81,0.97,0.37,0.67,0.73,0.53,0.66,0.65,0.46
b_0,2.89,2.66,3.27,5.45,6.78,3.17,0.83,0.89,0.69,0.32,0.35,0.64,0.43,0.52,0.56,0.41
f_0,3.57,3.06,5.47,4.32,3.97,2.49,1.04,0.64,0.79,0.68,0.7,0.35,0.52,0.52,0.59,0.29
h_0,3.93,4.5,3.55,3.84,4.38,3.4,1.68,1.16,0.84,0.81,0.79,0.65,0.91,0.68,0.61,0.54
a_0,3.93,3.38,4.12,4.04,6.8,7.15,1.2,1.39,0.93,0.72,0.45,0.84,0.67,0.34,0.71,0.5
e_0,6.15,4.23,5.46,4.3,5.29,4.35,1.4,1.12,0.86,0.8,0.9,0.38,0.55,0.68,0.31,0.51
g_0,4.92,4.24,3.9,4.87,4.49,3.87,0.99,1.95,1.1,0.97,1.0,0.92,0.47,0.84,0.84,1.03
