,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.5,0.61,0.66,0.85,0.6,0.56,0.84,0.74,1.3,0.85,0.81,0.74,0.84,0.94,0.42,0.68
f_1,1.1,1.52,0.63,0.68,0.54,0.51,0.65,0.65,0.75,0.73,0.76,0.4,0.61,0.68,0.5,0.71
d_1,0.66,0.77,1.55,0.57,0.61,0.53,0.86,0.69,0.64,1.31,0.94,0.8,0.75,0.85,0.77,0.81
c_1,0.64,0.65,0.77,1.56,1.11,0.48,0.8,0.73,0.67,0.44,0.59,0.65,0.73,0.75,0.65,0.71
b_1,0.73,0.84,0.72,0.54,1.61,0.92,0.76,0.89,0.78,0.59,0.46,0.82,0.55,1.02,0.68,0.85
a_1,0.72,0.83,0.74,0.75,0.62,1.76,0.95,0.94,0.78,0.91,0.94,0.78,0.8,1.08,0.84,0.92
h_1,0.8,1.24,0.89,0.93,0.84,0.61,1.73,1.19,0.93,0.97,1.01,1.02,0.9,0.83,0.9,1.3
g_1,0.94,0.81,1.26,0.99,0.76,0.51,1.0,1.79,1.14,1.03,1.0,1.4,1.01,1.3,0.88,0.71
d_0,0.86,0.93,0.66,1.51,0.89,0.76,1.12,0.96,1.58,0.89,1.03,0.96,0.96,1.16,1.0,1.01
c_0,0.97,0.99,0.87,0.9,0.85,0.69,1.12,1.02,1.31,1.63,1.86,1.24,1.19,1.45,1.01,1.06
b_0,1.07,1.05,0.88,1.01,0.69,0.6,1.1,0.99,1.2,0.98,1.7,1.15,1.8,1.34,0.97,1.02
f_0,0.86,0.79,0.99,1.04,0.8,1.08,1.0,0.89,1.43,1.24,1.05,1.74,1.13,1.57,1.8,1.04
a_0,1.01,1.14,1.02,0.92,1.11,0.45,1.2,0.99,1.12,1.13,1.07,1.22,1.62,1.3,1.31,1.28
h_0,0.97,1.42,1.05,1.06,0.87,0.68,0.85,1.05,1.09,1.01,1.07,0.9,0.92,0.9,1.15,1.41
e_0,0.91,1.25,0.97,1.12,0.89,0.84,1.36,1.14,1.13,1.1,1.18,0.92,0.94,1.15,1.75,1.28
g_0,0.92,1.08,1.54,1.06,0.78,0.65,1.01,0.96,1.09,1.33,1.15,1.63,0.92,1.16,1.11,0.94
