,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.88,1.33,0.99,1.05,0.71,0.91,1.01,1.0,0.88,1.02,0.81,0.75,0.93,0.68,0.99
d_1,1.13,1.0,0.98,0.89,0.91,0.96,1.1,0.94,0.88,1.46,1.03,1.01,1.06,1.11,1.07,0.84
e_1,0.75,1.03,1.0,1.2,0.98,1.02,1.01,1.43,1.1,0.91,1.07,1.24,1.11,1.0,1.17,1.1
c_1,1.0,1.15,0.83,1.0,1.4,1.07,0.84,0.71,0.96,0.84,0.86,0.92,1.02,0.96,0.87,0.99
b_1,0.94,1.11,1.03,0.71,1.0,1.33,1.17,1.0,0.98,1.08,0.95,0.94,1.12,0.86,1.13,1.12
a_1,1.41,1.05,0.98,0.94,0.76,1.0,1.05,1.03,1.19,0.98,1.03,1.0,1.14,1.07,1.16,0.91
h_1,1.09,0.92,1.0,1.2,0.86,0.95,1.0,0.91,1.18,0.87,0.97,0.99,0.95,0.84,0.95,1.26
d_0,0.99,1.02,0.66,1.42,1.07,1.01,1.12,1.0,0.95,0.8,1.04,1.04,0.95,0.96,1.04,1.0
g_1,0.98,1.19,0.93,1.07,0.97,0.87,0.87,0.98,1.0,0.98,0.99,1.24,0.88,1.13,0.99,1.17
c_0,1.08,0.68,1.05,1.24,0.9,1.0,1.11,1.29,1.03,1.0,1.55,1.0,1.12,0.97,0.98,1.08
b_0,0.99,1.01,0.91,1.19,0.99,0.92,1.04,0.92,1.01,0.65,1.0,1.0,1.17,1.44,1.14,1.03
f_0,1.19,0.95,0.82,1.11,1.01,1.02,0.96,0.95,0.87,1.0,0.94,1.0,1.0,0.94,1.53,0.81
h_0,1.26,0.93,0.92,1.02,0.87,0.84,1.07,1.06,1.2,0.87,0.84,1.01,1.0,0.88,0.89,1.26
a_0,1.02,0.9,0.93,1.03,1.24,0.97,1.2,1.04,0.9,1.12,0.71,1.09,1.19,1.0,0.93,1.09
e_0,1.46,0.93,0.85,1.11,0.99,0.9,1.07,0.97,1.04,1.04,0.94,0.66,1.09,1.18,1.0,0.89
g_0,1.01,1.18,0.84,1.01,0.91,1.08,0.8,0.94,0.87,0.96,0.95,1.19,0.78,0.93,1.12,1.0
