,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.39,1.04,1.36,1.72,4.53,15.58,26.09,33.72,35.57,45.31,42.03,70.98,91.3,115.96,109.77
e_1,0.74,1.0,0.99,1.44,1.77,3.56,17.01,27.06,32.6,41.47,41.46,54.71,71.77,83.82,95.78,110.58
d_1,0.93,0.99,1.0,0.99,1.63,3.08,15.46,33.66,24.05,28.93,42.91,41.31,70.99,75.51,78.72,111.06
c_1,0.77,0.69,0.99,1.0,1.99,3.45,14.84,22.27,24.14,20.45,32.15,38.96,61.85,64.88,81.52,95.5
b_1,0.59,0.58,0.61,0.51,1.0,3.0,10.57,18.83,18.33,17.17,26.4,27.16,45.27,45.73,56.88,63.84
a_1,0.23,0.28,0.32,0.3,0.34,1.0,4.51,7.71,8.91,8.56,12.34,12.36,21.84,28.34,29.28,30.73
h_1,0.06,0.06,0.07,0.07,0.09,0.21,1.0,1.55,2.07,1.91,2.72,2.45,4.63,4.86,6.6,6.8
c_0,0.04,0.04,0.03,0.04,0.05,0.13,0.64,1.0,1.07,1.31,2.02,1.66,2.85,3.45,3.65,4.2
g_1,0.03,0.03,0.04,0.04,0.05,0.11,0.48,0.88,1.0,0.93,1.37,1.67,1.95,3.04,2.83,4.03
d_0,0.03,0.02,0.03,0.05,0.06,0.11,0.56,0.74,1.08,1.0,1.3,1.46,2.37,2.78,3.2,3.8
b_0,0.02,0.02,0.02,0.03,0.04,0.08,0.38,0.5,0.7,0.73,1.0,1.02,1.73,2.9,2.34,2.5
f_0,0.02,0.02,0.02,0.03,0.04,0.08,0.42,0.61,0.59,0.64,0.93,1.0,1.53,2.15,1.81,3.48
h_0,0.01,0.01,0.01,0.02,0.02,0.05,0.23,0.35,0.51,0.42,0.55,0.6,1.0,1.11,1.46,1.39
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.22,0.31,0.31,0.37,0.36,0.49,0.93,1.0,1.06,1.38
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.28,0.34,0.31,0.42,0.57,0.69,0.89,1.0,1.27
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.23,0.23,0.25,0.36,0.29,0.69,0.77,0.8,1.0
