,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.73,1.61,1.77,1.3,1.64,1.43,5.79,5.5,13.59,6.27,8.15,6.48,6.81,11.91,4.64,11.55
f_1,2.46,5.97,1.57,1.48,1.37,1.24,5.11,5.04,6.41,5.93,3.71,7.0,7.32,10.7,4.86,10.08
c_1,1.63,1.42,6.46,1.29,2.63,1.39,5.63,5.19,6.16,3.86,7.35,5.89,7.07,11.43,7.84,10.04
d_1,1.5,1.6,1.16,6.82,1.33,1.58,5.24,6.39,3.2,13.9,7.97,9.39,9.75,11.63,8.55,11.49
b_1,1.26,1.45,1.68,1.64,7.0,3.01,5.3,4.67,7.52,7.19,7.26,4.24,5.36,10.26,7.96,12.76
a_1,1.28,1.74,1.7,1.61,1.59,11.51,6.38,5.07,7.05,8.03,7.34,6.7,3.15,10.2,9.58,9.14
h_1,1.96,2.59,1.77,1.83,1.67,1.9,16.02,8.9,8.2,7.73,8.43,8.15,7.48,8.52,9.54,16.16
g_1,1.72,1.5,1.92,3.2,1.55,1.82,6.19,19.14,6.08,9.58,12.78,9.31,8.8,12.56,9.44,8.45
d_0,1.64,2.12,3.83,0.98,1.72,1.7,6.79,6.42,15.18,6.03,8.62,7.7,8.18,12.3,7.33,13.02
c_0,1.85,2.28,1.24,2.05,1.52,1.64,7.27,8.2,7.68,19.34,9.55,19.79,10.71,12.78,9.37,14.35
f_0,1.79,1.37,2.01,1.85,1.86,2.0,7.38,7.33,9.74,8.87,20.07,10.89,12.1,14.77,20.47,12.54
b_0,2.06,2.19,2.13,2.31,0.83,1.26,7.45,9.11,7.3,10.68,9.09,21.88,19.31,13.84,9.48,13.65
a_0,2.01,2.05,1.82,1.83,1.65,1.21,7.81,8.39,7.52,9.96,11.99,8.58,25.22,15.16,11.04,11.71
h_0,1.66,2.8,1.87,2.09,1.59,1.54,4.68,8.34,9.07,9.61,7.03,8.11,10.74,8.7,8.87,16.62
e_0,0.89,2.28,1.87,2.32,1.89,2.07,8.21,6.64,7.13,10.51,8.53,9.35,7.58,14.27,26.88,13.63
g_0,1.66,1.85,2.07,3.03,1.7,1.63,6.95,5.13,7.05,7.88,13.41,9.35,8.6,12.95,10.82,9.61
