,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,9.49,0.84,0.59,0.99,0.65,0.69,0.83,2.63,0.86,0.96,0.92,0.94,1.1,0.86,0.9,0.6
f_1,1.83,11.25,0.68,0.62,0.56,0.53,0.85,0.99,0.8,1.03,0.98,0.61,0.93,0.75,0.88,0.78
d_1,0.74,0.8,12.29,0.57,0.6,0.66,0.97,0.47,2.71,0.83,1.35,1.02,0.98,1.1,1.06,0.94
c_1,0.58,0.65,0.64,12.54,1.74,0.73,0.79,0.87,0.51,0.73,0.61,0.82,1.05,0.79,1.04,1.1
b_1,0.55,0.55,0.81,0.7,12.99,2.07,0.96,0.77,0.79,0.81,0.61,1.02,0.88,0.84,0.96,1.03
a_1,0.51,0.73,0.68,0.84,0.75,17.27,1.32,1.0,0.98,0.9,1.16,1.22,1.11,0.93,0.92,1.12
h_1,0.67,1.21,1.07,0.75,0.63,0.56,3.31,0.94,1.1,1.59,1.04,1.02,0.66,1.07,1.39,1.16
d_0,0.65,0.75,0.55,2.18,0.96,0.68,0.92,1.85,0.53,1.18,0.87,1.0,1.16,0.83,1.02,1.12
c_0,0.77,0.78,1.02,0.57,0.64,0.73,1.28,0.92,1.95,1.31,3.47,1.25,1.0,1.94,1.14,1.25
g_1,0.78,0.82,1.28,0.72,0.65,0.62,1.06,1.01,1.06,3.83,1.16,1.88,0.78,1.1,0.81,1.38
b_0,0.94,0.92,0.86,0.74,0.53,0.62,1.11,0.91,1.06,1.31,2.5,1.25,1.34,3.16,1.1,1.15
f_0,0.57,0.77,0.91,0.95,0.88,0.8,1.64,0.93,1.15,1.1,1.09,2.65,1.14,1.5,1.29,3.09
h_0,0.76,1.37,0.9,0.69,0.78,0.61,0.76,1.01,0.98,1.61,0.96,1.19,0.82,1.09,1.53,0.97
a_0,0.86,0.9,0.93,0.8,0.73,0.56,1.2,0.81,0.99,1.46,1.22,1.06,1.15,3.37,1.36,1.13
g_0,0.62,0.66,1.96,0.74,0.82,0.54,0.91,0.78,1.18,0.8,1.07,1.96,1.13,1.28,0.7,1.09
e_0,0.57,0.84,1.06,0.77,0.74,0.78,1.45,0.65,1.25,1.39,1.08,1.17,1.26,1.17,1.36,2.92
