,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,1.3,1.65,1.77,3.93,22.37,28.35,40.88,34.82,37.52,65.32,79.28,83.21,91.7,150.38
f_1,1.21,1.0,1.12,1.3,1.42,3.27,15.01,25.93,27.44,30.33,33.68,50.41,56.65,53.43,78.57,123.31
d_1,0.76,0.89,1.0,0.96,1.35,3.01,16.35,17.58,25.48,35.47,33.09,47.74,55.28,56.88,86.16,93.18
c_1,0.61,0.77,1.05,1.0,1.85,2.65,15.04,18.26,15.47,19.43,22.13,38.95,49.37,48.9,68.91,95.7
b_1,0.57,0.7,0.73,0.55,1.0,2.95,11.66,16.92,16.45,17.27,20.38,39.33,30.08,48.43,59.54,91.44
a_1,0.25,0.31,0.33,0.38,0.34,1.0,6.06,8.77,7.43,9.23,11.21,13.54,25.71,22.08,29.75,44.83
h_1,0.05,0.06,0.06,0.07,0.08,0.16,1.0,1.59,1.35,1.56,1.79,3.08,3.15,3.71,4.69,8.6
g_1,0.04,0.04,0.05,0.06,0.06,0.12,0.63,1.0,1.21,1.19,1.33,2.72,2.68,2.92,3.74,4.61
d_0,0.02,0.03,0.04,0.07,0.06,0.13,0.7,0.88,1.0,0.93,1.18,1.79,2.23,2.5,3.79,4.79
c_0,0.03,0.03,0.03,0.05,0.06,0.11,0.64,0.86,1.13,1.0,1.55,1.94,2.37,2.64,3.3,4.12
b_0,0.03,0.03,0.03,0.05,0.05,0.08,0.54,0.73,0.85,0.63,1.0,1.63,2.69,2.24,2.87,3.88
f_0,0.02,0.02,0.02,0.02,0.03,0.08,0.33,0.36,0.6,0.56,0.56,1.0,1.17,1.5,2.54,1.96
a_0,0.01,0.02,0.02,0.02,0.03,0.05,0.31,0.35,0.42,0.42,0.4,0.84,1.0,1.18,1.78,2.33
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.28,0.35,0.38,0.38,0.47,0.69,0.79,1.0,1.47,2.21
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.26,0.28,0.29,0.36,0.38,0.58,0.65,1.0,1.34
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.22,0.2,0.23,0.25,0.51,0.41,0.44,0.72,1.0
