,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.42,0.61,0.9,0.93,0.96,0.91,0.27,0.28,0.22,0.2,0.21,0.25,0.2,0.14,0.15,0.27
f_1,0.83,0.42,0.86,0.9,0.9,0.83,0.21,0.33,0.21,0.18,0.18,0.25,0.18,0.1,0.14,0.17
d_1,1.19,0.94,0.41,0.97,0.91,0.84,0.27,0.17,0.26,0.17,0.19,0.17,0.15,0.12,0.09,0.16
c_1,0.83,0.95,1.11,0.4,0.97,0.8,0.25,0.27,0.13,0.27,0.21,0.18,0.19,0.14,0.14,0.16
b_1,1.18,1.14,1.13,0.65,0.37,1.05,0.3,0.3,0.22,0.31,0.35,0.24,0.24,0.17,0.16,0.18
a_1,1.55,1.4,1.23,1.39,0.69,0.31,0.47,0.34,0.3,0.27,0.34,0.26,0.42,0.2,0.21,0.22
h_1,1.7,1.65,1.68,1.62,1.95,1.33,0.29,0.46,0.38,0.38,0.37,0.33,0.32,0.29,0.24,0.28
g_1,1.78,1.89,1.68,1.85,1.82,1.58,0.42,0.28,0.42,0.39,0.39,0.33,0.37,0.24,0.28,0.35
d_0,1.27,1.75,2.78,2.02,2.09,1.73,0.64,0.72,0.31,0.43,0.43,0.43,0.45,0.31,0.3,0.39
c_0,1.97,2.29,1.2,2.81,2.09,1.92,0.58,0.54,0.61,0.29,0.42,0.4,0.38,0.33,0.25,0.36
b_0,1.95,1.96,1.66,2.59,2.89,1.72,0.58,0.61,0.47,0.26,0.28,0.43,0.39,0.28,0.27,0.42
f_0,1.9,2.93,2.15,2.02,2.21,1.89,0.59,0.38,0.42,0.4,0.43,0.28,0.4,0.33,0.19,0.39
a_0,2.56,2.46,2.19,2.33,2.83,2.75,0.6,0.77,0.55,0.44,0.3,0.48,0.28,0.31,0.31,0.46
h_0,2.33,2.52,2.26,2.37,2.34,1.94,0.82,0.68,0.55,0.47,0.46,0.44,0.48,0.44,0.33,0.46
g_0,2.79,2.56,2.81,2.65,2.88,2.55,0.63,0.82,0.56,0.59,0.54,0.55,0.44,0.3,0.45,0.42
e_0,2.82,3.69,3.13,2.64,2.47,2.08,0.69,0.61,0.48,0.63,0.58,0.31,0.51,0.41,0.33,0.27
