,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,0.45,0.62,0.69,0.6,0.57,0.33,0.36,0.31,0.27,0.29,0.32,0.27,0.24,0.29,0.27
f_1,0.64,0.4,0.56,0.6,0.57,0.54,0.26,0.35,0.29,0.27,0.28,0.29,0.24,0.18,0.25,0.21
d_1,0.62,0.64,0.39,0.59,0.56,0.54,0.29,0.24,0.31,0.3,0.3,0.26,0.27,0.22,0.25,0.16
c_1,0.5,0.6,0.7,0.38,0.7,0.59,0.32,0.32,0.19,0.27,0.24,0.27,0.26,0.21,0.27,0.23
b_1,0.6,0.65,0.62,0.41,0.36,0.71,0.34,0.32,0.25,0.31,0.32,0.3,0.25,0.24,0.26,0.24
a_1,0.63,0.66,0.61,0.59,0.37,0.3,0.39,0.35,0.29,0.31,0.32,0.25,0.32,0.26,0.28,0.26
h_1,0.55,0.63,0.57,0.56,0.55,0.49,0.23,0.31,0.26,0.26,0.27,0.26,0.24,0.25,0.23,0.23
g_1,0.55,0.6,0.59,0.55,0.53,0.5,0.25,0.21,0.27,0.27,0.27,0.27,0.25,0.22,0.23,0.22
d_0,0.41,0.55,0.68,0.67,0.64,0.59,0.32,0.32,0.23,0.24,0.27,0.26,0.27,0.24,0.28,0.25
c_0,0.59,0.6,0.39,0.77,0.63,0.53,0.32,0.29,0.34,0.22,0.32,0.24,0.29,0.23,0.25,0.2
b_0,0.57,0.58,0.47,0.69,0.7,0.51,0.32,0.31,0.29,0.17,0.21,0.25,0.28,0.22,0.25,0.22
f_0,0.55,0.73,0.54,0.58,0.52,0.53,0.28,0.23,0.29,0.26,0.24,0.19,0.25,0.25,0.27,0.17
a_0,0.54,0.62,0.54,0.57,0.63,0.56,0.29,0.28,0.26,0.21,0.18,0.23,0.2,0.24,0.27,0.22
h_0,0.56,0.63,0.55,0.6,0.52,0.48,0.34,0.28,0.25,0.24,0.26,0.22,0.23,0.24,0.25,0.22
e_0,0.65,0.7,0.55,0.54,0.53,0.49,0.29,0.27,0.27,0.24,0.25,0.15,0.23,0.18,0.18,0.19
g_0,0.61,0.61,0.57,0.6,0.51,0.48,0.25,0.33,0.25,0.24,0.27,0.25,0.22,0.19,0.24,0.22
