,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.89,2.61,1.43,1.54,1.37,1.19,4.95,4.54,6.65,7.03,7.54,3.66,11.11,7.24,4.82,10.02
e_1,1.69,6.04,1.91,1.26,1.49,1.32,5.46,5.75,13.64,7.55,8.17,7.02,10.21,7.76,3.65,11.58
c_1,1.44,1.21,6.46,1.73,2.73,1.46,5.02,5.44,7.29,2.37,5.84,7.02,11.72,6.69,8.33,10.26
d_1,1.67,1.41,1.22,6.55,1.63,1.49,5.85,5.69,3.16,13.9,9.41,7.79,11.26,7.98,8.01,10.08
b_1,1.51,1.36,1.62,1.43,7.45,3.03,5.74,5.59,7.55,7.27,2.61,7.68,9.37,6.8,8.65,11.04
a_1,1.53,1.78,1.37,1.97,1.31,10.93,6.01,5.51,6.12,7.51,7.14,7.53,9.59,3.2,7.35,7.42
h_1,2.38,1.73,1.86,2.02,1.81,1.46,16.21,8.82,8.24,8.58,8.25,8.37,8.19,8.91,9.41,20.78
g_1,1.65,1.16,1.97,3.11,1.79,1.82,6.44,20.29,7.58,8.97,9.48,15.41,12.6,10.56,13.16,9.44
d_0,1.68,1.79,3.68,1.0,1.78,1.85,6.68,5.89,15.49,6.42,9.97,9.0,13.76,7.73,10.08,15.48
c_0,2.36,1.74,1.21,2.1,1.41,2.24,7.82,5.67,9.0,16.08,17.57,9.2,14.09,11.29,11.34,12.37
b_0,2.16,2.05,2.06,1.98,1.02,1.6,6.5,7.33,8.53,9.33,18.69,8.36,16.18,19.6,10.21,15.66
f_0,1.29,1.36,2.36,1.9,1.86,2.28,8.64,7.92,10.66,10.09,7.71,20.67,15.52,6.72,23.94,16.41
h_0,2.72,1.86,1.99,1.98,1.76,1.68,3.54,9.51,7.96,7.67,8.58,9.21,9.52,9.72,7.72,19.56
a_0,2.15,2.05,2.07,1.93,2.0,1.48,7.13,5.15,6.35,7.88,8.92,8.09,14.92,23.88,5.64,13.82
e_0,2.17,1.0,1.99,1.75,1.98,2.35,7.59,8.74,10.59,8.4,8.95,11.21,17.86,9.5,27.26,14.37
g_0,1.67,1.64,2.04,2.97,1.67,1.79,6.04,5.89,8.0,8.9,7.35,14.85,14.55,9.32,10.87,8.57
