,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.88,0.08,0.07,0.09,0.06,0.05,0.08,0.07,0.14,0.07,0.08,0.06,0.08,0.01,0.05,0.06
d_1,0.09,0.88,0.09,0.06,0.07,0.05,0.08,0.08,0.02,0.14,0.07,0.08,0.08,0.05,0.05,0.05
f_1,0.18,0.08,0.88,0.07,0.05,0.04,0.07,0.06,0.08,0.07,0.01,0.07,0.05,0.03,0.04,0.06
c_1,0.08,0.09,0.08,0.88,0.14,0.05,0.06,0.07,0.09,0.01,0.06,0.05,0.08,0.04,0.04,0.05
b_1,0.08,0.09,0.09,0.07,0.87,0.09,0.08,0.07,0.09,0.08,0.07,0.02,0.08,0.05,0.02,0.05
a_1,0.08,0.09,0.1,0.09,0.06,0.87,0.08,0.07,0.06,0.07,0.06,0.07,0.08,0.06,0.01,0.06
h_1,0.13,0.15,0.24,0.1,0.11,0.07,0.52,0.16,0.13,0.15,0.11,0.11,0.05,0.1,0.08,0.16
g_1,0.13,0.27,0.11,0.14,0.1,0.09,0.11,0.51,0.12,0.11,0.18,0.12,0.1,0.1,0.07,0.04
d_0,0.19,0.06,0.13,0.27,0.11,0.1,0.13,0.1,0.37,0.1,0.11,0.08,0.12,0.09,0.07,0.12
c_0,0.19,0.21,0.17,0.05,0.09,0.08,0.12,0.12,0.12,0.39,0.14,0.22,0.16,0.09,0.08,0.09
f_0,0.16,0.2,0.05,0.16,0.14,0.07,0.14,0.1,0.17,0.11,0.39,0.12,0.19,0.19,0.09,0.14
b_0,0.13,0.18,0.19,0.14,0.03,0.09,0.14,0.11,0.16,0.15,0.14,0.39,0.14,0.08,0.19,0.11
h_0,0.11,0.17,0.25,0.12,0.11,0.1,0.03,0.17,0.13,0.15,0.12,0.15,0.05,0.09,0.07,0.12
e_0,0.05,0.18,0.18,0.15,0.12,0.1,0.11,0.19,0.19,0.14,0.14,0.18,0.18,0.37,0.09,0.12
a_0,0.16,0.17,0.19,0.14,0.12,,0.11,0.12,0.18,0.12,0.16,0.16,0.17,0.09,0.36,0.09
g_0,0.11,0.27,0.12,0.14,0.09,0.08,0.13,0.05,0.14,0.12,0.19,0.12,0.18,0.11,0.08,0.04
