,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.45,18.93,34.69,35.25,30.66,33.88,12.2,5.8,5.77,9.51,5.79,7.93,6.56,5.71,,5.14
f_1,36.86,0.44,30.15,37.94,32.77,36.77,6.39,5.73,7.42,11.73,6.43,,6.47,3.38,5.98,4.23
c_1,28.12,39.82,0.43,43.09,27.73,29.53,10.77,4.12,,8.69,7.62,6.98,6.24,4.19,8.45,5.56
d_1,41.94,38.43,28.22,0.43,29.75,64.07,9.67,,5.87,5.91,6.57,8.52,7.44,5.03,4.85,2.97
b_1,36.19,38.44,19.0,34.26,0.41,57.01,8.82,6.59,8.76,10.91,,7.28,9.63,4.57,7.64,4.54
a_1,39.56,43.54,46.5,51.09,33.33,0.33,10.45,7.91,9.99,13.25,9.44,10.26,,6.99,,7.76
h_1,15.6,19.79,22.47,13.95,18.23,13.05,0.37,4.16,4.05,5.11,3.79,3.91,3.54,,2.52,2.43
d_0,8.76,13.46,15.63,,16.38,12.1,3.86,0.48,4.03,5.48,4.35,2.9,2.23,2.11,2.34,2.97
c_0,19.15,14.09,,11.29,16.67,20.78,3.68,3.0,0.5,4.52,2.81,3.32,1.99,2.15,2.53,1.99
g_1,38.72,33.26,25.01,19.97,20.39,21.78,3.33,5.87,3.28,0.32,3.71,4.51,4.29,1.91,,
b_0,20.14,21.18,24.59,15.69,,17.85,5.06,4.18,1.51,4.14,0.43,2.92,4.64,2.36,,2.46
f_0,13.6,,15.99,15.81,23.52,25.33,5.64,3.78,3.44,3.17,4.1,0.41,5.35,2.62,4.53,1.37
a_0,22.51,20.01,20.35,18.37,24.89,,5.87,4.78,3.31,4.95,1.98,3.48,0.4,,,2.25
h_0,14.62,13.81,12.44,9.96,11.26,11.17,,2.9,2.64,3.41,2.99,1.98,,,2.58,2.12
e_0,,18.41,17.1,17.67,33.31,,5.4,3.98,5.07,,,2.53,,2.15,0.36,
g_0,15.82,11.88,16.09,17.36,12.41,9.75,3.67,4.1,3.93,,2.51,3.32,3.95,1.19,,
