,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,0.92,0.95,0.86,0.71,0.59,0.65,0.63,0.6,0.61,0.6,0.51,0.49,0.47,0.59
e_1,0.86,1.0,1.15,0.91,0.93,0.86,0.7,0.86,0.69,0.62,0.73,0.6,0.64,0.61,0.59,0.56
c_1,1.07,0.87,1.0,1.1,1.23,0.88,0.67,0.49,0.7,0.57,0.62,0.51,0.62,0.51,0.53,0.61
d_1,1.05,1.1,0.9,1.0,0.93,0.86,0.74,0.69,0.59,0.87,0.68,0.72,0.61,0.57,0.55,0.47
b_1,1.13,1.05,0.85,1.06,1.0,1.28,0.77,0.73,0.75,0.72,0.63,0.64,0.67,0.59,0.61,0.61
a_1,1.31,1.18,1.13,1.16,0.8,1.0,0.85,0.82,0.8,0.76,0.7,0.83,0.73,0.68,0.76,0.67
h_1,1.68,1.45,1.49,1.35,1.28,1.16,1.0,0.86,1.06,0.83,0.84,0.9,0.81,0.72,0.77,0.89
d_0,1.51,1.16,2.0,1.54,1.41,1.2,1.16,1.0,1.05,0.86,1.04,1.01,0.93,0.84,0.88,1.02
g_1,1.6,1.43,1.41,1.72,1.38,1.22,0.95,0.95,1.0,0.9,1.11,0.93,0.83,0.94,0.99,0.82
c_0,1.68,1.6,1.7,1.21,1.46,1.31,1.21,1.11,1.1,1.0,0.95,1.45,1.0,0.97,1.02,0.85
f_0,1.67,1.35,1.67,1.49,1.53,1.42,1.16,1.03,0.91,1.06,1.0,1.03,0.94,1.25,0.93,0.76
b_0,1.71,1.62,2.0,1.38,1.55,1.18,1.16,1.01,1.04,0.73,0.98,1.0,0.96,0.91,1.19,0.93
h_0,1.96,1.59,1.6,1.56,1.49,1.35,1.21,1.07,1.18,0.98,1.02,1.02,1.0,0.89,0.94,1.0
e_0,1.91,1.68,1.9,1.66,1.8,1.44,1.39,1.18,1.09,1.02,0.84,1.09,1.11,1.0,1.07,0.93
a_0,2.03,1.77,2.01,1.64,1.7,1.29,1.33,1.11,1.08,0.93,1.07,0.8,1.1,0.97,1.0,1.04
g_0,1.72,1.74,1.73,2.05,1.62,1.48,1.09,1.02,1.18,1.2,1.28,1.13,0.97,1.07,0.91,1.0
