,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.08,0.92,0.86,0.9,0.9,0.66,0.53,0.69,0.86,0.67,0.62,0.63,0.64,0.47,0.56
f_1,0.92,1.0,1.31,1.01,0.87,0.72,0.59,0.71,0.64,0.59,0.54,0.52,0.47,0.51,0.66,0.38
e_1,1.09,0.76,1.0,1.07,0.98,0.88,0.79,0.67,0.9,0.71,0.71,0.66,0.59,0.58,0.54,0.52
c_1,1.17,0.99,0.93,1.0,1.3,0.81,0.77,0.69,0.51,0.48,0.54,0.72,0.69,0.53,0.53,0.6
b_1,1.11,1.15,1.02,0.78,1.0,1.29,0.72,0.71,0.68,0.66,0.74,0.72,0.63,0.73,0.69,0.62
a_1,1.12,1.36,1.14,1.23,0.78,1.0,0.99,1.05,0.83,0.76,0.9,0.74,0.76,0.82,0.79,0.76
h_1,1.51,1.67,1.25,1.36,1.33,1.04,1.0,1.2,0.89,0.79,0.85,0.8,0.94,0.84,0.93,0.82
g_1,1.81,1.44,1.48,1.47,1.42,1.02,0.84,1.0,0.92,0.98,0.93,1.07,0.78,0.8,0.61,0.85
d_0,1.45,1.54,1.1,2.09,1.46,1.22,1.09,1.07,1.0,0.88,1.06,0.8,1.0,0.73,0.87,1.01
c_0,1.13,1.77,1.39,1.83,1.47,1.33,1.29,1.05,1.19,1.0,1.4,0.95,1.0,0.95,0.8,0.98
b_0,1.5,1.8,1.49,1.89,1.31,1.14,1.16,1.05,0.93,0.71,1.0,0.84,0.96,1.13,0.92,0.75
f_0,1.58,1.89,1.53,1.41,1.41,1.37,1.21,0.91,1.12,1.09,1.15,1.0,1.03,1.04,0.77,1.57
h_0,1.63,2.13,1.77,1.42,1.5,1.18,1.1,1.27,1.01,1.05,1.03,0.96,1.0,0.91,1.1,0.77
a_0,1.6,1.95,1.78,1.73,1.52,1.19,1.21,1.29,1.34,1.1,0.91,0.89,1.08,1.0,0.98,0.97
g_0,2.18,1.55,1.78,1.98,1.51,1.28,1.0,1.54,1.05,1.24,1.11,1.33,0.93,1.05,1.0,1.09
e_0,1.84,2.47,1.82,1.68,1.68,1.39,1.19,1.19,0.96,0.98,1.38,0.67,1.3,1.01,0.89,1.0
