,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.61,2.75,1.34,1.25,1.41,1.18,5.6,6.17,4.67,7.18,7.09,3.14,9.48,7.01,5.97,11.52
e_1,1.69,5.96,1.86,1.35,1.31,1.62,5.92,14.06,5.67,8.25,7.48,8.78,10.22,6.8,6.14,9.99
c_1,1.44,1.51,6.49,1.49,2.88,1.36,4.79,6.29,4.62,2.91,6.42,6.81,10.32,7.12,6.03,10.43
d_1,1.64,1.41,1.27,6.83,1.38,1.64,5.3,4.37,6.87,12.61,8.71,6.44,12.67,7.83,6.53,11.93
b_1,1.62,1.29,1.5,1.74,7.6,2.92,5.98,5.46,5.01,5.72,2.79,7.86,10.46,5.29,5.89,12.38
a_1,1.51,1.3,1.66,1.68,1.53,10.7,6.2,7.76,5.79,7.17,6.91,9.43,11.4,3.87,10.0,9.17
h_1,2.58,1.77,1.91,2.0,1.69,1.49,16.13,8.71,8.42,8.68,10.47,7.99,9.01,7.9,10.95,16.72
d_0,1.79,1.59,3.76,1.16,1.56,1.85,6.19,15.43,7.65,7.21,10.6,9.19,15.6,9.76,9.94,11.91
g_1,1.5,1.68,1.99,2.85,2.03,1.46,6.06,6.16,20.91,7.1,8.68,15.57,13.95,9.82,10.8,8.99
c_0,1.87,1.76,1.35,2.14,1.47,1.56,7.91,9.62,7.59,17.67,19.86,9.3,16.05,11.9,11.01,12.9
b_0,2.16,1.91,2.13,1.86,1.08,1.29,7.67,10.09,7.22,7.77,18.86,9.54,15.98,21.15,11.8,13.35
f_0,1.28,1.52,2.2,2.04,2.07,1.4,7.35,10.09,8.26,7.29,9.37,22.32,19.08,13.09,26.45,11.91
h_0,2.73,1.84,1.59,2.02,1.71,1.72,5.21,7.84,9.63,6.79,10.02,9.42,7.28,9.16,11.37,17.29
a_0,2.01,2.12,2.24,1.82,1.95,1.06,7.15,8.87,7.41,9.35,7.36,9.7,16.09,23.99,10.55,15.06
e_0,1.53,1.07,2.22,2.69,2.04,1.77,6.51,7.27,9.31,10.03,10.15,7.84,16.34,9.4,25.71,13.24
g_0,1.57,1.76,2.11,3.03,1.89,1.7,6.34,7.87,4.89,7.92,8.21,15.4,11.81,8.04,12.45,9.23
