,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.36,1.43,1.33,1.86,1.47,1.31,3.0,4.83,3.2,2.76,3.64,3.8,4.59,3.59,4.53,2.98
f_1,2.07,2.4,1.44,1.46,1.36,1.33,2.64,3.18,2.86,2.71,3.11,2.59,3.4,3.44,3.89,2.23
d_1,1.52,1.54,2.57,1.24,1.3,1.51,2.94,2.44,5.06,2.96,3.47,3.52,4.25,3.48,3.8,3.69
c_1,1.29,1.5,1.55,2.66,2.47,1.31,2.78,2.73,2.15,2.62,2.33,3.05,3.75,3.34,3.83,3.61
b_1,1.43,1.6,1.5,1.18,2.84,2.67,2.74,3.23,3.34,2.74,2.55,2.84,4.06,2.41,3.89,3.33
a_1,1.6,1.68,1.47,1.65,1.18,3.31,3.19,3.19,2.8,3.28,3.38,3.12,3.89,2.34,4.44,3.41
h_1,1.47,1.92,1.58,1.56,1.62,1.53,4.05,3.4,2.79,3.58,3.33,3.33,4.0,2.95,5.2,3.46
d_0,1.31,1.55,1.35,2.52,1.68,1.43,2.94,4.2,2.64,2.8,3.36,3.7,3.98,3.31,4.0,3.72
c_0,1.6,1.71,1.4,1.44,1.25,1.69,3.61,3.68,4.27,2.97,5.52,3.91,4.87,4.37,4.3,3.39
g_1,1.5,1.39,2.03,1.62,1.37,1.4,2.81,3.31,3.84,4.94,3.53,5.14,3.77,3.7,3.17,4.14
b_0,1.42,1.8,1.67,1.76,1.31,1.25,3.22,2.99,2.98,3.27,4.57,3.6,4.49,6.0,4.08,3.85
f_0,1.11,1.42,1.71,1.73,1.89,1.78,3.23,3.4,3.56,2.84,3.43,4.81,4.84,3.61,3.6,6.65
h_0,1.45,1.99,1.62,1.63,1.43,1.5,2.56,3.37,3.18,3.45,3.84,3.07,3.61,3.45,4.97,3.46
a_0,1.61,1.57,1.65,1.59,1.91,1.3,3.42,3.66,3.2,2.88,3.01,3.38,4.63,5.42,3.95,3.47
g_0,1.17,1.38,2.19,1.58,1.77,1.45,2.67,2.9,3.57,2.85,3.63,5.05,4.13,3.71,3.8,5.01
e_0,1.27,1.93,1.42,1.59,1.77,1.78,3.1,3.35,3.27,2.9,3.13,3.16,4.55,3.47,3.38,5.51
