,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.31,0.96,0.38,0.42,0.44,0.3,0.88,0.99,0.92,0.8,1.09,0.38,0.77,0.93,0.48,0.86
e_1,0.54,2.33,0.4,0.53,0.41,0.37,0.92,0.98,2.0,0.84,1.09,1.03,0.9,1.33,0.33,1.04
d_1,0.58,0.41,2.46,0.34,0.44,0.34,0.91,2.17,0.34,0.75,1.28,1.06,1.17,1.34,0.93,1.32
c_1,0.45,0.45,0.43,2.47,0.88,0.31,0.79,0.37,0.98,0.72,0.71,1.14,0.77,0.89,0.81,0.76
b_1,0.51,0.45,0.54,0.45,2.54,0.74,0.69,0.88,1.06,0.78,0.35,0.79,0.57,1.22,0.83,1.19
a_1,0.61,0.34,0.55,0.52,0.39,2.96,1.02,1.01,1.0,0.81,1.02,0.88,0.35,1.48,0.97,1.23
h_1,0.84,0.59,0.57,0.59,0.43,0.4,2.98,1.25,1.24,1.17,1.39,1.19,1.15,0.78,1.04,1.83
c_0,0.65,0.64,0.76,0.36,0.42,0.46,1.14,2.51,1.06,1.09,2.34,1.07,1.31,1.49,1.08,1.54
d_0,0.58,0.6,0.32,1.17,0.55,0.42,1.02,0.85,2.44,0.95,1.12,1.2,0.89,1.5,1.02,1.15
g_1,0.47,0.45,0.95,0.62,0.48,0.4,1.03,1.13,1.02,3.25,1.09,1.86,1.15,1.65,1.01,0.85
b_0,0.58,0.66,0.66,0.6,0.24,0.44,1.19,1.35,1.19,1.12,2.63,1.29,2.22,1.56,0.97,1.52
f_0,0.36,0.51,0.61,0.69,0.63,0.52,1.3,1.22,1.12,0.96,1.05,2.89,0.88,1.48,2.4,1.48
a_0,0.76,0.61,0.73,0.54,0.49,0.29,1.31,1.34,1.45,0.94,1.21,0.97,2.81,1.79,0.95,1.43
h_0,0.8,0.64,0.62,0.55,0.48,0.56,0.56,1.37,1.41,1.24,1.36,1.07,0.98,0.86,1.18,1.66
e_0,0.7,0.26,0.55,0.66,0.64,0.54,1.29,1.53,1.19,1.16,1.52,1.14,1.22,1.97,3.21,1.87
g_0,0.52,0.55,0.96,0.62,0.43,0.46,1.14,1.47,1.1,0.54,1.14,1.84,0.89,1.31,1.09,0.73
