,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.75,1.04,1.06,0.99,0.77,0.8,0.77,0.78,0.87,0.67,0.67,0.6,0.65,0.61,0.58
f_1,1.33,1.0,0.9,1.06,0.8,0.84,0.56,0.64,0.55,0.57,0.57,0.58,0.52,0.46,0.45,0.58
d_1,0.96,1.09,1.0,0.85,0.99,0.89,0.74,0.59,0.81,0.71,0.59,0.64,0.56,0.51,0.67,0.43
c_1,0.95,0.94,1.17,1.0,1.31,0.93,0.76,0.62,0.43,0.49,0.63,0.52,0.62,0.61,0.57,0.56
b_1,1.01,1.26,1.01,0.76,1.0,1.32,0.85,0.75,0.74,0.68,0.73,0.78,0.57,0.71,0.52,0.66
a_1,1.31,1.2,1.12,1.08,0.75,1.0,0.87,0.89,0.78,0.94,0.78,0.8,0.87,0.78,0.79,0.76
h_1,1.28,1.81,1.28,1.3,1.22,1.12,1.0,1.28,0.88,0.87,0.82,0.91,0.83,0.9,0.82,0.97
g_1,1.38,1.53,1.77,1.51,1.33,1.08,0.8,1.0,0.91,0.8,1.12,0.88,0.83,0.77,0.74,0.91
c_0,1.3,1.79,1.27,2.14,1.31,1.28,1.13,1.04,1.0,1.06,0.96,1.53,1.07,1.01,1.03,1.01
d_0,1.16,1.65,1.44,2.11,1.52,0.99,1.14,1.24,0.93,1.0,0.89,0.98,1.01,1.13,0.95,0.87
f_0,1.45,1.79,1.66,1.66,1.39,1.23,1.21,0.91,1.02,1.1,1.0,0.94,1.0,0.98,1.34,0.74
b_0,1.43,1.76,1.51,1.98,1.43,1.19,1.06,1.19,0.68,1.02,1.1,1.0,1.3,1.02,0.83,0.95
a_0,1.62,1.9,1.73,1.68,1.77,1.11,1.25,1.2,0.93,1.03,1.06,0.74,1.0,1.1,0.8,0.98
h_0,1.58,2.2,2.03,1.58,1.35,1.25,1.1,1.28,0.97,0.92,0.99,0.97,0.93,1.0,0.81,1.06
e_0,1.76,2.22,1.6,1.78,1.96,1.23,1.16,1.42,1.12,1.12,0.75,1.17,1.16,1.16,1.0,0.87
g_0,1.72,1.71,2.22,1.79,1.59,1.3,1.04,1.09,0.99,1.09,1.39,1.1,1.06,0.94,1.06,1.0
