,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,10887.74,3721.15,6210.76,3785.65,6890.92,22925.8,3087703.98,15471786.74,9546421.69,14161035.74,27139891.39,28860429.75,109383956.71,143087017.61,245556478.79,125367796.35
f_1,4779.83,13939.21,4325.87,4500.28,6669.58,25629.21,2927196.37,6570692.57,6925149.82,13355322.28,10523629.99,27045799.04,95516205.73,101632985.65,202597395.55,154248624.52
c_1,2658.94,3137.33,20269.71,4809.24,13403.07,25300.92,2791293.62,7798820.54,8172071.73,5174380.86,25519320.03,21591029.6,117097848.65,116523041.18,241689399.79,222701138.22
d_1,2511.62,4161.43,3595.09,21830.78,6967.16,24141.48,3551270.6,4135184.99,9924286.8,26821857.08,25730072.34,36079767.16,125984811.4,113106213.68,294224430.15,214681823.7
b_1,2538.43,3079.8,4378.8,4852.13,36561.56,58841.45,3201834.09,6503820.11,9616458.71,12075104.7,27175789.85,16179932.83,112559857.63,103956174.68,194650912.69,204122153.12
a_1,2494.26,3370.21,4802.38,6355.39,8063.01,174524.93,3040807.9,7486444.91,10059221.73,13020082.98,28052440.48,30918620.81,103956812.36,60805686.65,219434530.06,291437009.57
h_1,2920.55,5686.18,5953.94,6757.8,8264.59,30910.11,9107986.31,8088326.78,14960241.66,15223668.32,29548398.88,32860201.73,84807119.54,168064821.16,348736505.59,287304770.03
d_0,3516.17,3926.27,12335.81,3016.1,9527.39,25545.24,4010271.67,17095294.79,9591603.97,9837577.39,30033251.59,35433077.38,125435149.84,166230552.99,273225638.76,301548048.24
g_1,3274.52,3796.53,5984.01,9508.14,7440.59,29642.63,4136565.64,8679581.0,32337926.71,15548379.5,46285980.97,31420075.01,126686459.48,145055946.84,171254534.0,255144104.73
c_0,3944.96,4781.02,3260.76,7163.29,7413.63,27657.82,4810156.7,10508272.75,12056005.98,33978151.04,34343796.28,76373256.48,135469526.97,175212392.41,307777259.23,286819514.23
f_0,2941.98,3183.27,6670.16,6657.23,10514.55,27292.32,4690375.08,9708855.16,12303268.14,17282385.04,59894461.02,44219453.66,144413546.98,173447680.2,308490859.04,588112467.11
b_0,3793.45,5000.31,5508.92,5616.98,5281.88,20219.4,4804722.35,12519816.67,11904871.42,19778368.59,29900676.97,88508902.5,145089334.65,362473899.19,280937034.58,310638351.99
h_0,3139.21,6025.41,4959.77,6615.42,9700.22,28056.13,3000131.79,8656708.86,14185138.6,17963452.14,27005364.94,39037181.57,89263398.31,159179581.59,392942541.51,266704171.92
a_0,3815.33,4426.99,6586.08,5879.8,9451.52,17482.85,4461299.7,10708589.43,10199195.91,16242628.39,30218769.27,43731348.99,138869923.24,433960159.18,282222172.08,318652160.54
g_0,3117.26,3634.29,4854.48,9620.92,9653.79,24403.23,4278393.07,8898305.48,8111455.82,18447674.06,49365932.49,40990352.76,119655541.45,144894234.52,229936157.53,347233496.87
e_0,2401.9,4350.15,6767.35,7236.68,10801.74,24218.66,4710161.32,9607706.41,13245708.97,18339353.23,26333498.94,38619892.61,153533207.07,183567562.7,327082436.86,791136398.57
