,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.68,1.13,0.58,0.64,0.47,0.53,0.89,0.58,0.86,0.8,1.0,0.28,0.84,0.83,0.82,0.92
e_1,0.66,2.78,0.57,0.77,0.58,0.55,0.87,0.8,1.72,0.79,0.95,1.02,0.99,0.92,0.46,0.87
d_1,0.61,0.52,3.1,0.43,0.63,0.48,0.92,1.24,0.33,1.75,1.03,1.19,1.06,1.07,1.08,1.21
c_1,0.61,0.5,0.59,3.2,1.19,0.48,0.94,0.86,0.89,0.3,0.76,0.85,0.93,0.97,1.04,0.85
b_1,0.6,0.61,0.55,0.62,3.5,1.3,0.77,0.88,0.79,0.78,0.38,0.92,0.71,0.72,0.83,0.85
a_1,0.77,0.56,0.63,0.73,0.44,4.96,0.95,0.86,1.1,1.04,1.03,0.99,1.22,0.45,0.96,0.66
h_1,1.11,0.67,0.89,0.55,0.64,0.75,3.08,1.26,1.1,1.07,0.97,1.04,0.7,1.02,0.99,1.61
g_1,0.61,0.57,1.3,0.68,0.74,0.66,1.0,3.79,0.92,1.1,1.21,1.88,1.33,1.15,0.95,0.79
d_0,0.79,0.71,0.35,1.51,0.66,0.76,0.95,1.11,2.11,0.75,1.12,1.14,1.51,1.16,1.29,1.25
c_0,0.88,0.77,0.89,0.36,0.59,0.71,1.05,1.06,1.11,2.55,2.34,1.29,1.26,1.47,1.13,1.37
b_0,0.87,0.64,0.89,0.84,0.39,0.61,1.26,1.07,1.0,1.43,2.68,1.22,1.35,2.67,1.55,1.35
f_0,0.5,0.58,0.82,0.69,0.84,0.84,1.29,1.14,1.09,1.34,1.32,3.13,1.55,1.16,2.68,1.47
h_0,1.05,0.7,0.85,0.91,0.69,0.56,0.62,1.52,1.0,1.12,1.15,1.1,0.63,1.25,1.59,1.64
a_0,0.68,0.77,0.78,0.91,0.78,0.36,1.34,0.96,1.05,1.18,1.25,1.44,1.24,3.23,1.29,1.37
e_0,1.02,0.41,0.74,0.84,0.55,0.78,1.23,1.33,1.19,1.28,1.33,1.28,1.41,1.27,3.9,1.13
g_0,0.52,0.68,1.34,0.73,0.75,0.82,1.05,0.84,0.88,1.21,1.11,1.98,0.97,0.87,1.28,0.64
